row_id,judul,deskripsi,langkah,kategori,language,sumber,judul_raw,langkah_raw,jumlah_langkah,langkah_pertama,quality_flag,ada_di_file_en,source_group_id,data_source,source_dataset,source_row_id,license,created_at,panjang_langkah_rata,english_source_row_ids,english_source_count,english_mapping_type
dec_id_0015,Nulis pendahuluan,nulis bab pendahuluan,Buka dokumen dan tulis judul babnya|Tulis 3 poin kenapa topik ini penting|Kembangin poin pertama jadi paragraf|Lanjut poin kedua dan ketiga|Tambahin rumusan masalah dan tujuan,Akademik,id,terjemahan,Nulis pendahuluan,Buka dokumen dan tulis judul babnya|Tulis 3 poin kenapa topik ini penting|Kembangin poin pertama jadi paragraf|Lanjut poin kedua dan ketiga|Tambahin rumusan masalah dan tujuan,5,Buka dokumen dan tulis judul babnya,,0,dgrp_36edada1,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,34.2,15,1,existing_indonesian_translation
dec_id_0016,Nulis pembahasan,nulis bab pembahasan,Buka data hasil penelitian|Tulis temuan utamanya dulu|Hubungin temuan sama teori yang dipakai|Tulis keterbatasan penelitiannya|Rapikan alurnya,Akademik,id,terjemahan,Nulis pembahasan,Buka data hasil penelitian|Tulis temuan utamanya dulu|Hubungin temuan sama teori yang dipakai|Tulis keterbatasan penelitiannya|Rapikan alurnya,5,Buka data hasil penelitian,,0,dgrp_43e8ba5a,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,27.6,16,1,existing_indonesian_translation
dec_id_0017,Rapikan format tugas,benerin format sebelum dikumpulin,Baca ketentuan format yang diminta|Betulin margin dan ukuran font|Cek penomoran halaman dan judul|Cek daftar isi kalau ada|Simpan versi final,Akademik,id,terjemahan,Rapikan format tugas,Baca ketentuan format yang diminta|Betulin margin dan ukuran font|Cek penomoran halaman dan judul|Cek daftar isi kalau ada|Simpan versi final,5,Baca ketentuan format yang diminta,,0,dgrp_9edf50ee,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,27.4,17,1,existing_indonesian_translation
dec_id_0018,Kumpulin tugas,submit tugas ke portal atau dosen,Cek lagi file yang mau dikumpulin|Pastiin nama file sesuai ketentuan|Buka portal atau email tujuan|Upload dan cek berhasil masuk|Simpan bukti pengumpulannya,Akademik,id,terjemahan,Kumpulin tugas,Cek lagi file yang mau dikumpulin|Pastiin nama file sesuai ketentuan|Buka portal atau email tujuan|Upload dan cek berhasil masuk|Simpan bukti pengumpulannya,5,Cek lagi file yang mau dikumpulin,,0,dgrp_9b9d402a,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,30.4,18,1,existing_indonesian_translation
dec_id_0019,Kejar kelas yang bolong,nyusul materi kelas yang kelewat,Buka chat kelas dan kirim pesan ke satu teman buat minta catatan hari itu|Baca materi yang kelewat|Catat bagian yang bingung|Tanya teman atau dosen soal itu|Kerjain tugas yang menyertainya,Akademik,id,terjemahan,Kejar kelas yang bolong,Buka chat kelas dan kirim pesan ke satu teman buat minta catatan hari itu|Baca materi yang kelewat|Catat bagian yang bingung|Tanya teman atau dosen soal itu|Kerjain tugas yang menyertainya,5,Buka chat kelas dan kirim pesan ke satu teman buat minta catatan hari itu,,0,dgrp_bd3192ad,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,36.8,19,1,existing_indonesian_translation
dec_id_0020,Rapikan file kuliah,beresin file materi kuliah,Buat folder per mata kuliah|Pindahin file yang jelas kategorinya|Kasih nama file yang konsisten|Hapus file duplikat|Backup ke cloud,Akademik,id,terjemahan,Rapikan file kuliah,Buat folder per mata kuliah|Pindahin file yang jelas kategorinya|Kasih nama file yang konsisten|Hapus file duplikat|Backup ke cloud,5,Buat folder per mata kuliah,,0,dgrp_a07c7fb6,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,25.4,20,1,existing_indonesian_translation
dec_id_0021,Siapin tugas kelompok,nyiapin bagian buat tugas kelompok,Buka grup dan baca pembagian tugasnya|Kerjain bagian kamu aja dulu|Kirim hasilnya ke grup|Cek bagian teman kalau sempat|Bantu gabungin jadi satu file,Akademik,id,terjemahan,Siapin tugas kelompok,Buka grup dan baca pembagian tugasnya|Kerjain bagian kamu aja dulu|Kirim hasilnya ke grup|Cek bagian teman kalau sempat|Bantu gabungin jadi satu file,5,Buka grup dan baca pembagian tugasnya,,0,dgrp_3faa9482,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,29.0,21,1,existing_indonesian_translation
dec_id_0022,Latihan presentasi,latihan sebelum presentasi,Buka slide yang udah jadi|Baca isinya sekali sambil ngomong|Latihan sekali sambil diitung waktunya|Catat bagian yang kepanjangan|Latihan sekali lagi setelah dipangkas,Akademik,id,terjemahan,Latihan presentasi,Buka slide yang udah jadi|Baca isinya sekali sambil ngomong|Latihan sekali sambil diitung waktunya|Catat bagian yang kepanjangan|Latihan sekali lagi setelah dipangkas,5,Buka slide yang udah jadi,,0,dgrp_03a1061d,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,32.4,22,1,existing_indonesian_translation
dec_id_0023,Bikin jadwal belajar,nyusun jadwal belajar,Tulis materi apa aja yang perlu dipelajari|Cek deadline dan tanggal ujiannya|Bagi materi ke slot waktu per hari|Sisipin waktu istirahat|Tempel di tempat yang keliatan,Akademik,id,terjemahan,Bikin jadwal belajar,Tulis materi apa aja yang perlu dipelajari|Cek deadline dan tanggal ujiannya|Bagi materi ke slot waktu per hari|Sisipin waktu istirahat|Tempel di tempat yang keliatan,5,Tulis materi apa aja yang perlu dipelajari,,1,dgrp_a0593cfc,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,32.4,"23,222",2,exact_existing_indonesian_pattern|existing_indonesian_translation
dec_id_0024,Baca masukan dosen,baca dan tindak lanjuti feedback,Baca semua catatan revisi sekali dulu|Kelompokin mana yang mirip|Urutin dari yang paling gampang|Kerjain yang paling gampang dulu|Tandai yang udah dibenerin,Akademik,id,terjemahan,Baca masukan dosen,Baca semua catatan revisi sekali dulu|Kelompokin mana yang mirip|Urutin dari yang paling gampang|Kerjain yang paling gampang dulu|Tandai yang udah dibenerin,5,Baca semua catatan revisi sekali dulu,,0,dgrp_44b45227,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,30.4,24,1,existing_indonesian_translation
dec_id_0025,Rencanain kerjaan minggu ini,nyusun rencana kerja mingguan,Buka kalender dan lihat jadwal yang udah ada|Tulis semua kerjaan yang harus kelar minggu ini|Tandai mana yang paling mendesak|Taruh ke hari yang masuk akal|Sisain ruang buat hal tak terduga,Kerja,id,terjemahan,Rencanain kerjaan minggu ini,Buka kalender dan lihat jadwal yang udah ada|Tulis semua kerjaan yang harus kelar minggu ini|Tandai mana yang paling mendesak|Taruh ke hari yang masuk akal|Sisain ruang buat hal tak terduga,5,Buka kalender dan lihat jadwal yang udah ada,,0,dgrp_e02ac233,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,37.0,25,1,existing_indonesian_translation
dec_id_0026,Siapin rapat,nyiapin bahan sebelum rapat,Baca undangan dan agendanya|Tulis poin yang mau kamu sampaikan|Siapin data pendukung kalau perlu|Cek link atau ruangannya|Siapin catatan buat nulis hasil rapat,Kerja,id,terjemahan,Siapin rapat,Baca undangan dan agendanya|Tulis poin yang mau kamu sampaikan|Siapin data pendukung kalau perlu|Cek link atau ruangannya|Siapin catatan buat nulis hasil rapat,5,Baca undangan dan agendanya,,0,dgrp_fbf32209,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,31.0,26,1,existing_indonesian_translation
dec_id_0027,Nulis notulen rapat,nulis catatan hasil rapat,Buka catatan mentah yang tadi ditulis|Rapikan jadi poin-poin keputusan|Tulis siapa ngerjain apa|Tulis tenggat tiap poin|Kirim ke peserta rapat,Kerja,id,terjemahan,Nulis notulen rapat,Buka catatan mentah yang tadi ditulis|Rapikan jadi poin-poin keputusan|Tulis siapa ngerjain apa|Tulis tenggat tiap poin|Kirim ke peserta rapat,5,Buka catatan mentah yang tadi ditulis,,0,dgrp_eed05dc0,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,27.6,27,1,existing_indonesian_translation
dec_id_0028,Tindak lanjut rapat,ngerjain hasil keputusan rapat,Buka notulen rapatnya|Tandai bagian yang jadi tugas kamu|Kerjain yang paling cepat dulu|Kabarin progres ke tim|Jadwalin sisanya,Kerja,id,terjemahan,Tindak lanjut rapat,Buka notulen rapatnya|Tandai bagian yang jadi tugas kamu|Kerjain yang paling cepat dulu|Kabarin progres ke tim|Jadwalin sisanya,5,Buka notulen rapatnya,,0,dgrp_c1469aaa,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,24.6,28,1,existing_indonesian_translation
dec_id_0029,Beresin inbox email,balas email yang numpuk,Buka inbox dan urutin dari yang terbaru|Balas 3 yang paling penting dulu|Arsipkan yang nggak perlu dibalas|Tandai yang butuh waktu lama|Kosongin sisanya pelan-pelan,Kerja,id,terjemahan,Beresin inbox email,Buka inbox dan urutin dari yang terbaru|Balas 3 yang paling penting dulu|Arsipkan yang nggak perlu dibalas|Tandai yang butuh waktu lama|Kosongin sisanya pelan-pelan,5,Buka inbox dan urutin dari yang terbaru,,0,dgrp_26b174b7,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,32.0,29,1,existing_indonesian_translation
dec_id_0030,Nulis email kerja,nulis email profesional,Tulis tujuan emailnya dalam 1 kalimat|Tulis isi utamanya|Tambahin salam pembuka dan penutup|Cek ejaan dan nama penerima|Kirim,Kerja,id,terjemahan,Nulis email kerja,Tulis tujuan emailnya dalam 1 kalimat|Tulis isi utamanya|Tambahin salam pembuka dan penutup|Cek ejaan dan nama penerima|Kirim,5,Tulis tujuan emailnya dalam 1 kalimat,langkah_kosong_atau_terlalu_pendek,0,dgrp_2292df82,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,24.2,30,1,existing_indonesian_translation
dec_id_0031,Bikin rencana proyek,nyusun rencana proyek,Buka dokumen proyek dan tulis satu kalimat soal hasil akhir yang mau dicapai|Pecah jadi 3-5 tahapan besar|Tulis siapa ngerjain tahapan mana|Kasih perkiraan waktu tiap tahap|Tulis risiko yang mungkin muncul,Kerja,id,terjemahan,Bikin rencana proyek,Buka dokumen proyek dan tulis satu kalimat soal hasil akhir yang mau dicapai|Pecah jadi 3-5 tahapan besar|Tulis siapa ngerjain tahapan mana|Kasih perkiraan waktu tiap tahap|Tulis risiko yang mungkin muncul,5,Buka dokumen proyek dan tulis satu kalimat soal hasil akhir yang mau dicapai,,0,dgrp_78642515,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,40.2,31,1,existing_indonesian_translation
dec_id_0032,Pantau progres proyek,ngecek sejauh mana proyek jalan,Buka rencana proyek yang udah dibuat|Tandai mana yang udah selesai|Catat mana yang telat dan kenapa|Sesuaikan jadwal sisanya|Kabarin tim,Kerja,id,terjemahan,Pantau progres proyek,Buka rencana proyek yang udah dibuat|Tandai mana yang udah selesai|Catat mana yang telat dan kenapa|Sesuaikan jadwal sisanya|Kabarin tim,5,Buka rencana proyek yang udah dibuat,,0,dgrp_2f40cc43,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,26.4,32,1,existing_indonesian_translation
dec_id_0033,Bikin laporan status,nulis laporan progres,Buka file progres terakhir dan salin angka atau status paling baru ke draf laporan|Tulis apa yang udah selesai|Tulis kendala yang ada|Tulis rencana berikutnya|Rapikan dan kirim,Kerja,id,terjemahan,Bikin laporan status,Buka file progres terakhir dan salin angka atau status paling baru ke draf laporan|Tulis apa yang udah selesai|Tulis kendala yang ada|Tulis rencana berikutnya|Rapikan dan kirim,5,Buka file progres terakhir dan salin angka atau status paling baru ke draf laporan,,0,dgrp_86847577,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,34.4,33,1,existing_indonesian_translation
dec_id_0034,Review draf kontrak,baca dan periksa draf kontrak,Baca sekali dari awal tanpa nyatet|Baca ulang sambil tandai yang janggal|Catat pertanyaan atau keberatan|Konsultasi kalau ada yang nggak jelas|Kirim balik dengan catatan,Kerja,id,terjemahan,Review draf kontrak,Baca sekali dari awal tanpa nyatet|Baca ulang sambil tandai yang janggal|Catat pertanyaan atau keberatan|Konsultasi kalau ada yang nggak jelas|Kirim balik dengan catatan,5,Baca sekali dari awal tanpa nyatet,kontaminasi_inggris:review,0,dgrp_021ad4c2,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,33.0,34,1,existing_indonesian_translation
dec_id_0035,Bikin presentasi,nyiapin slide presentasi,Buka slide kosong dan tulis judul buat 3 slide pertama|Bikin slide judul dan penutup dulu|Isi slide isi satu per satu|Tambahin gambar atau grafik secukupnya|Cek typo dan rapikan font,Kerja,id,terjemahan,Bikin presentasi,Buka slide kosong dan tulis judul buat 3 slide pertama|Bikin slide judul dan penutup dulu|Isi slide isi satu per satu|Tambahin gambar atau grafik secukupnya|Cek typo dan rapikan font,5,Buka slide kosong dan tulis judul buat 3 slide pertama,,0,dgrp_ce50a4fd,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,35.6,35,1,existing_indonesian_translation
dec_id_0036,Siapin wawancara kerja,nyiapin diri buat interview,Baca lagi deskripsi pekerjaannya|Cari tau soal perusahaannya|Siapin jawaban buat 5 pertanyaan umum|Siapin pertanyaan buat pewawancara|Siapin baju dan dokumen,Kerja,id,terjemahan,Siapin wawancara kerja,Baca lagi deskripsi pekerjaannya|Cari tau soal perusahaannya|Siapin jawaban buat 5 pertanyaan umum|Siapin pertanyaan buat pewawancara|Siapin baju dan dokumen,5,Baca lagi deskripsi pekerjaannya,,0,dgrp_ea2a298a,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,30.6,36,1,existing_indonesian_translation
dec_id_0037,Update portofolio,perbarui portofolio kerja,Buka portofolio yang lama|Pilih 3 karya terbaru yang mau ditambahin|Tulis deskripsi singkat tiap karya|Hapus yang udah nggak relevan|Cek tampilannya di HP,Kerja,id,terjemahan,Update portofolio,Buka portofolio yang lama|Pilih 3 karya terbaru yang mau ditambahin|Tulis deskripsi singkat tiap karya|Hapus yang udah nggak relevan|Cek tampilannya di HP,5,Buka portofolio yang lama,,0,dgrp_82885d40,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,30.0,37,1,existing_indonesian_translation
dec_id_0038,Update CV,perbarui CV,Buka CV yang lama|Tambahin pengalaman terbaru|Hapus yang udah nggak relevan|Sesuaikan sama posisi yang dituju|Cek typo dan format,Kerja,id,terjemahan,Update CV,Buka CV yang lama|Tambahin pengalaman terbaru|Hapus yang udah nggak relevan|Sesuaikan sama posisi yang dituju|Cek typo dan format,5,Buka CV yang lama,,0,dgrp_b1adf981,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,25.0,38,1,existing_indonesian_translation
dec_id_0039,Lamar kerja,ngirim lamaran pekerjaan,Baca lagi syarat lowongannya|Sesuaikan CV sama posisi itu|Tulis surat lamaran singkat|Siapin dokumen pendukung|Kirim dan catat tanggalnya,Kerja,id,terjemahan,Lamar kerja,Baca lagi syarat lowongannya|Sesuaikan CV sama posisi itu|Tulis surat lamaran singkat|Siapin dokumen pendukung|Kirim dan catat tanggalnya,5,Baca lagi syarat lowongannya,,0,dgrp_10f377df,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,26.6,39,1,existing_indonesian_translation
dec_id_0040,Bikin laporan,nyusun laporan kerja,Buka folder kerja dan salin file data paling baru ke satu folder laporan|Bikin kerangka laporannya|Isi bagian data dan analisis|Tulis kesimpulan dan saran|Rapikan format dan kirim,Kerja,id,terjemahan,Bikin laporan,Buka folder kerja dan salin file data paling baru ke satu folder laporan|Bikin kerangka laporannya|Isi bagian data dan analisis|Tulis kesimpulan dan saran|Rapikan format dan kirim,5,Buka folder kerja dan salin file data paling baru ke satu folder laporan,,0,dgrp_86847577,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,35.0,40,1,existing_indonesian_translation
dec_id_0041,Rapikan spreadsheet,beresin data di spreadsheet,Buka file dan lihat kolom apa aja yang ada|Hapus baris kosong atau dobel|Samain format tanggal dan angka|Kasih nama kolom yang jelas|Simpan versi bersihnya,Kerja,id,terjemahan,Rapikan spreadsheet,Buka file dan lihat kolom apa aja yang ada|Hapus baris kosong atau dobel|Samain format tanggal dan angka|Kasih nama kolom yang jelas|Simpan versi bersihnya,5,Buka file dan lihat kolom apa aja yang ada,,0,dgrp_c3ef00c8,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,30.2,41,1,existing_indonesian_translation
dec_id_0042,Analisis spreadsheet,nganalisis data di spreadsheet,"Buka spreadsheet dan cek baris 1 sampai 10, tandai yang kosong atau salah format|Tentuin pertanyaan yang mau dijawab|Bikin tabel ringkasan|Bikin 1 grafik yang paling relevan|Tulis 3 temuan utama",Kerja,id,terjemahan,Analisis spreadsheet,"Buka spreadsheet dan cek baris 1 sampai 10, tandai yang kosong atau salah format|Tentuin pertanyaan yang mau dijawab|Bikin tabel ringkasan|Bikin 1 grafik yang paling relevan|Tulis 3 temuan utama",5,"Buka spreadsheet dan cek baris 1 sampai 10, tandai yang kosong atau salah format",,0,dgrp_7e5ad2dc,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,38.0,42,1,existing_indonesian_translation
