row_id,task_en,tugas,tugas_raw,task_en_raw,jatuh_tempo_hari,ada_tenggat,tenggat_hari,durasi_jam,durasi_menit,tingkat_kepentingan_1_10,notes_en,catatan,quality_flag,label_review_needed,source_group_id,data_source,source_dataset,source_row_id,upstream_match,label_provenance,license,created_at
dur_0015,send venmo request for dinner,kirim permintaan pembayaran venmo untuk makan malam,kirim permintaan pembayaran venmo untuk makan malam,send venmo request for dinner,4.0,1,4.0,0.1,6.0,9,,,,0,grp_fcd2021b77,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0016,schedule brunch with friends,atur jadwal brunch dengan teman,atur jadwal brunch dengan teman,schedule brunch with friends,3.0,1,3.0,0.2,12.0,6,,,,0,grp_e98214efe5,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0017,do class reading,baca bacaan kuliah,baca bacaan kuliah,do class reading,7.0,1,7.0,0.5,30.0,7,,,,0,grp_4261098f68,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0018,schedule meeting with advisor,atur jadwal bertemu dosen pembimbing,atur jadwal bertemu dosen pembimbing,schedule meeting with advisor,18.0,1,18.0,0.1,6.0,8,,,,0,grp_c0225e8fb3,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0019,wash my coffee mug,cuci gelas kopi,cuci gelas kopi,wash my coffee mug,1.0,1,1.0,0.1,6.0,8,,,,0,grp_038a897e7f,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0020,throw out junk mail,buang surat sampah/junk mail,buang surat sampah/junk mail,throw out junk mail,-1.0,0,,0.15,9.0,1,,,,0,grp_2d5734756d,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0021,make my bed,rapikan tempat tidur,rapikan tempat tidur,make my bed,0.0,1,0.0,0.1,6.0,3,,,label_bentrok_teks_sama,0,grp_d0b1579690,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0022,wash makeup bag,cuci tas makeup,cuci tas makeup,wash makeup bag,2.0,1,2.0,0.2,12.0,4,,,,0,grp_09de9c7a01,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0023,take a walk in the park,jalan-jalan di taman,jalan-jalan di taman,take a walk in the park,-1.0,0,,0.75,45.0,1,,,,0,grp_bffa63f015,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0024,wipe down fridge drawers,lap laci kulkas,lap laci kulkas,wipe down fridge drawers,3.0,1,3.0,0.25,15.0,4,,,,0,grp_5d8d04f0a8,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0025,boil eggs,merebus telur,merebus telur,boil eggs,1.0,1,1.0,0.1,6.0,5,,,,0,grp_deeda7eac3,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0026,practice photography,latihan fotografi,latihan fotografi,practice photography,-1.0,0,,1.0,60.0,2,,,,0,grp_fedb064cc9,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0027,try the chiffon cake recipe,coba resep chiffon cake,coba resep chiffon cake,try the chiffon cake recipe,-1.0,0,,1.0,60.0,1,,,,0,grp_70e340a8a9,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0028,make spring break instagram post,buat post instagram spring break,buat post instagram spring break,make spring break instagram post,-1.0,0,,0.5,30.0,1,,,,0,grp_1cefb14635,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0029,cut my bangs,potong poni,potong poni,cut my bangs,-1.0,0,,0.25,15.0,2,,,,0,grp_b932670132,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0030,take space robotics quiz,kerjakan kuis space robotics,kerjakan kuis space robotics,take space robotics quiz,4.0,1,4.0,0.25,15.0,10,,,,0,grp_f8022c62cd,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0031,take modern control theory take home exam,kerjakan ujian take home modern control theory,kerjakan ujian take home modern control theory,take modern control theory take home exam,2.0,1,2.0,1.5,90.0,10,,,,0,grp_5b1bfb1856,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0032,send out booth when2meet,kirim link when2meet untuk booth,kirim link when2meet untuk booth,send out booth when2meet,1.0,1,1.0,0.2,12.0,8,,,,0,grp_635a4d62e4,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0033,update excel sheet with data,update data di excel,update data di excel,update excel sheet with data,1.0,1,1.0,0.4,24.0,9,,,,0,grp_6dd9187b44,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0034,revise intro paragraph for research paper,revisi paragraf pembuka paper riset,revisi paragraf pembuka paper riset,revise intro paragraph for research paper,4.0,1,4.0,0.5,30.0,8,,,,0,grp_4b057722e6,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0035,replace kitchen trash bag,ganti kantong sampah dapur,ganti kantong sampah dapur,replace kitchen trash bag,0.0,1,0.0,0.1,6.0,7,,,,0,grp_f495180061,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0036,fold bed sheets,lipat seprai,lipat seprai,fold bed sheets,1.0,1,1.0,0.1,6.0,7,,,,0,grp_a6ad90b9c8,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0037,write in my journal,tulis di jurnal/diary,tulis di jurnal/diary,write in my journal,-1.0,0,,0.25,15.0,1,,,,0,grp_42819b7db5,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0038,write weekly goals,tulis target mingguan,tulis target mingguan,write weekly goals,2.0,1,2.0,0.2,12.0,1,,,,0,grp_36bfb84c13,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0039,buy frozen dumplings,beli dumpling beku,beli dumpling beku,buy frozen dumplings,-1.0,0,,0.5,30.0,3,,,,0,grp_d760ca9bfa,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0040,marinate chicken,marinasi ayam,marinasi ayam,marinate chicken,1.0,1,1.0,0.4,24.0,5,,,,0,grp_c3aa1a8832,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0041,make hot tea,buat teh hangat,buat teh hangat,make hot tea,-1.0,0,,0.15,9.0,4,,,,0,grp_1a7b77d798,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0042,make matcha,buat matcha,buat matcha,make matcha,-1.0,0,,0.15,9.0,4,,,,0,grp_4ed8516116,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0043,buy matcha,beli matcha,beli matcha,buy matcha,-1.0,0,,0.5,30.0,4,,,,0,grp_735ebbc70c,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0044,plan trip to the museum,rencanakan trip ke museum,rencanakan trip ke museum,plan trip to the museum,-1.0,0,,0.4,24.0,2,,,,0,grp_e5f2d70e67,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0045,text my aunt back,balas chat tante,balas chat tante,text my aunt back,2.0,1,2.0,0.1,6.0,6,,,,0,grp_89075cca23,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0046,buy a new puzzle,beli puzzle baru,beli puzzle baru,buy a new puzzle,-1.0,0,,0.5,30.0,1,,,,0,grp_15db7e9e9f,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0047,delete old notes,hapus catatan lama,hapus catatan lama,delete old notes,-1.0,0,,0.75,45.0,2,,,,0,grp_7591b3ee47,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0048,throw out expired makeup,buang makeup kedaluwarsa,buang makeup kedaluwarsa,throw out expired makeup,5.0,1,5.0,0.3,18.0,6,,,,0,grp_13ac6df760,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0049,read a chapter of kindle book,baca satu bab buku di kindle,baca satu bab buku di kindle,read a chapter of kindle book,-1.0,0,,0.3,18.0,1,,,,0,grp_7e8cb6ebff,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0050,vacuum room,vacuum ruangan,vacuum ruangan,vacuum room,-1.0,0,,0.5,30.0,2,"room is dirty, dust on floor","kamar kotor, ada debu di lantai",,0,grp_9aaec1e914,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0051,finish feedback control systems homework 2 as soon as possible,selesaikan PR feedback control systems nomor 2 secepatnya,selesaikan PR feedback control systems nomor 2 secepatnya,finish feedback control systems homework 2 as soon as possible,1.0,1,1.0,4.0,240.0,7,behind due to sickness,tertinggal karena sakit,,0,grp_2dfbe4f465,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0052,update linkedin descriptions,update deskripsi linkedin,update deskripsi linkedin,update linkedin descriptions,-1.0,0,,3.0,180.0,4,need to prep for career fair,perlu persiapan untuk career fair,,0,grp_5b57174d1d,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0053,pay rent and utilities,bayar sewa dan tagihan utilitas,bayar sewa dan tagihan utilitas,pay rent and utilities,7.0,1,7.0,0.25,15.0,9,,,,0,grp_4cb017d7b6,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0054,pay credit card bill,bayar tagihan kartu kredit,bayar tagihan kartu kredit,pay credit card bill,7.0,1,7.0,0.25,15.0,10,,,,0,grp_ea0ddc92a9,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0055,put oil in my hair,oleskan minyak ke rambut,oleskan minyak ke rambut,put oil in my hair,-1.0,0,,0.18,10.8,1,want to leave oil overnight,ingin diamkan minyak semalaman,,0,grp_63e621e304,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0056,drink water,minum air,minum air,drink water,-1.0,0,,0.08,4.8,4,i am dehydrated,sedang dehidrasi,,0,grp_9c860973aa,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0057,finsih ai/ml homeowork 2,selesaikan PR ai/ml nomor 2,selesaikan PR ai/ml nomor 2,finsih ai/ml homeowork 2,1.0,1,1.0,4.0,240.0,9,deadline is 12 pm and i got an extension,deadline jam 12 siang dan sudah dapat perpanjangan,,0,grp_ce91165a91,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0058,charge phone for a few hours,cas HP beberapa jam,cas HP beberapa jam,charge phone for a few hours,-1.0,0,,0.08,4.8,5,phone is always dead because i forget to charge it,HP sering habis baterai karena lupa dicas,,0,grp_7286a76fd2,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0059,update resume,update CV,update CV,update resume,2.0,1,2.0,2.5,150.0,6,need to apply to jobs,perlu melamar kerja,,0,grp_f7fae82aab,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0060,finish feedback control systems homework 3 as soon as possible,selesaikan PR feedback control systems nomor 3 secepatnya,selesaikan PR feedback control systems nomor 3 secepatnya,finish feedback control systems homework 3 as soon as possible,1.0,1,1.0,4.0,240.0,10,behind due to appendicitis,tertinggal karena radang usus buntu,,0,grp_0dc5532337,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0061,make choreography with fran,buat koreografi bersama fran,buat koreografi bersama fran,make choreography with fran,0.0,1,0.0,1.5,90.0,6,this event happens weekly,acara ini terjadi setiap minggu,,0,grp_f0eadcf4eb,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0062,finish feedback control systems homework 4 as soon as possible,selesaikan PR feedback control systems nomor 4 secepatnya,selesaikan PR feedback control systems nomor 4 secepatnya,finish feedback control systems homework 4 as soon as possible,1.0,1,1.0,4.0,240.0,6,behind due to surgery,tertinggal karena operasi,,0,grp_a4c461360e,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0063,write experiment 2 results section of lab report,tulis bagian hasil eksperimen 2 di laporan praktikum,tulis bagian hasil eksperimen 2 di laporan praktikum,write experiment 2 results section of lab report,3.0,1,3.0,6.0,360.0,8,long lab report need to analyze data,"laporan praktikum panjang, perlu analisis data",durasi>300menit,0,grp_2731998d4f,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0064,attend birthday party,menghadiri pesta ulang tahun,menghadiri pesta ulang tahun,attend birthday party,3.0,1,3.0,3.0,180.0,3,"21st birthday party at night, need to dress in black","pesta ulang tahun ke-21 malam hari, perlu pakai baju hitam",,0,grp_17c7143a1d,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0065,complete portion of mechanical system experimentation lab report,selesaikan bagian laporan praktikum sistem mekanik,selesaikan bagian laporan praktikum sistem mekanik,complete portion of mechanical system experimentation lab report,5.0,1,5.0,4.0,240.0,8,"very long lab report, additional sections need to be completed","laporan praktikum sangat panjang, ada bagian tambahan yang perlu diselesaikan",,0,grp_3db7ce161c,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0066,attend themed party,menghadiri pesta bertema,menghadiri pesta bertema,attend themed party,4.0,1,4.0,3.0,180.0,1,may skip and not attend,mungkin akan dilewati/tidak hadir,,0,grp_cd4d0bf175,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0067,make bed,rapikan tempat tidur,rapikan tempat tidur,make bed,0.0,1,0.0,0.08,4.8,4,just upkeep,sekadar perawatan rutin,label_bentrok_teks_sama,0,grp_d0b1579690,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0068,do laundry,cuci baju,cuci baju,do laundry,-1.0,0,,3.0,180.0,7,i am going to run out of clothes eventually,baju akan habis kalau tidak segera dicuci,label_bentrok_teks_sama,0,grp_623d92fa3a,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0069,take out the trash,buang sampah,buang sampah,take out the trash,1.5,1,1.5,0.25,15.0,3,garbage bag is going to get full,kantong sampah akan segera penuh,label_bentrok_teks_sama,0,grp_6cf73a178a,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0070,fold my clothes,lipat baju,lipat baju,fold my clothes,0.5,1,0.5,1.0,60.0,2,the clothes are piling on my chair right now,baju sedang menumpuk di kursi,label_bentrok_teks_sama,0,grp_c62c2a0170,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0071,go to get eyebrows threaded,threading alis,threading alis,go to get eyebrows threaded,12.0,1,12.0,0.75,45.0,5,need to get them done before it gets too bad,perlu diselesaikan sebelum makin parah,,0,grp_a47f0ca6cd,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0072,complete ai/ml homework 3,selesaikan PR ai/ml nomor 3,selesaikan PR ai/ml nomor 3,complete ai/ml homework 3,6.0,1,6.0,6.0,360.0,8,deadline is on monday but have other assignments to complete,deadline hari senin tapi ada tugas lain yang harus diselesaikan,durasi>300menit,0,grp_901b1b2586,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0073,buy clothes for society of women engineers conference,beli baju untuk konferensi society of women engineers,beli baju untuk konferensi society of women engineers,buy clothes for society of women engineers conference,21.0,1,21.0,2.0,120.0,6,need to shop in advance,perlu belanja lebih awal,,0,grp_4ee0fc72b7,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0074,buy flight tickets to go home for fall break,beli tiket pesawat pulang untuk fall break,beli tiket pesawat pulang untuk fall break,buy flight tickets to go home for fall break,2.0,1,2.0,0.5,30.0,7,tickets are getting expensive fast,harga tiket cepat naik,,0,grp_68459f4cae,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0075,email recruiter about job availability,kirim email ke recruiter soal ketersediaan lowongan,kirim email ke recruiter soal ketersediaan lowongan,email recruiter about job availability,-1.0,0,,0.5,30.0,9,,,,0,grp_080e4b9dbb,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0076,fill out booth forms,isi formulir booth,isi formulir booth,fill out booth forms,1.0,1,1.0,1.0,60.0,4,,,,0,grp_fa19053f62,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0077,apply to job posting on handshake,melamar lowongan kerja di handshake,melamar lowongan kerja di handshake,apply to job posting on handshake,40.0,1,40.0,1.0,60.0,8,,,,0,grp_6f73c5df50,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0078,schedule dentist appointment for next month,buat janji dokter gigi bulan depan,buat janji dokter gigi bulan depan,schedule dentist appointment for next month,21.0,1,21.0,2.0,120.0,4,,,,0,grp_2e009c4b7b,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0079,meal prep curry on sunday,meal prep kari di hari minggu,meal prep kari di hari minggu,meal prep curry on sunday,5.0,1,5.0,0.1,6.0,5,,,,0,grp_f928755a59,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0080,get indan travel visa,urus visa perjalanan india,urus visa perjalanan india,get indan travel visa,35.0,1,35.0,1.5,90.0,9,,,,0,grp_3c0831630e,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0081,practice fran and kate's dances,latihan tarian bersama fran dan kate,latihan tarian bersama fran dan kate,practice fran and kate's dances,2.0,1,2.0,6.0,360.0,3,,,durasi>300menit,0,grp_344c48100b,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0082,finish reading science fiction books i bought,selesaikan baca buku fiksi ilmiah yang sudah dibeli,selesaikan baca buku fiksi ilmiah yang sudah dibeli,finish reading science fiction books i bought,75.0,1,75.0,20.0,1200.0,1,,,durasi>600menit,0,grp_fa2564d341,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0083,cancel unused subscriptions,batalkan langganan yang tidak dipakai,batalkan langganan yang tidak dipakai,cancel unused subscriptions,6.0,1,6.0,1.0,60.0,5,,,,0,grp_99bcf30952,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0084,email landlord about missing water filter on faucet,kirim email ke pemilik kos soal filter air keran yang hilang,kirim email ke pemilik kos soal filter air keran yang hilang,email landlord about missing water filter on faucet,-1.0,0,,0.1,6.0,8,,,,0,grp_4c27d0a268,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0085,pay back roommate for electricity bill,bayar kembali tagihan listrik ke teman sekamar,bayar kembali tagihan listrik ke teman sekamar,pay back roommate for electricity bill,6.0,1,6.0,0.2,12.0,7,,,,0,grp_12127097f4,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0086,skim and review syllabus to prepare,baca sekilas dan review silabus untuk persiapan,baca sekilas dan review silabus untuk persiapan,skim and review syllabus to prepare,-1.0,0,,0.3,18.0,6,,,,0,grp_ec7ab264ff,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0087,work with friends on take home exam,kerjakan ujian take home bersama teman,kerjakan ujian take home bersama teman,work with friends on take home exam,4.0,1,4.0,8.0,480.0,9,,,durasi>300menit,0,grp_a1d48ab2b2,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0088,defrost ground chicken for dinner,cairkan daging ayam giling beku untuk makan malam,cairkan daging ayam giling beku untuk makan malam,defrost ground chicken for dinner,0.0,1,0.0,0.05,3.0,3,,,,0,grp_f001d017a6,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0089,update github with code from homeworks and labs,update github dengan kode dari tugas dan praktikum,update github dengan kode dari tugas dan praktikum,update github with code from homeworks and labs,-1.0,0,,1.0,60.0,7,,,,0,grp_7ef8a7cf1c,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0090,call health insurance to confirm hospital visit cost coverage,telepon asuransi kesehatan untuk konfirmasi biaya kunjungan rumah sakit,telepon asuransi kesehatan untuk konfirmasi biaya kunjungan rumah sakit,call health insurance to confirm hospital visit cost coverage,0.0,1,0.0,0.5,30.0,10,,,,0,grp_898ecfe209,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0091,plan spring break trip,rencanakan trip spring break,rencanakan trip spring break,plan spring break trip,55.0,1,55.0,1.5,90.0,3,,,,0,grp_adb7a8ea36,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0092,take multi vitamins,minum multivitamin,minum multivitamin,take multi vitamins,0.0,1,0.0,0.1,6.0,4,,,,0,grp_cfc8956dc9,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0093,put on sunscreen,pakai sunscreen,pakai sunscreen,put on sunscreen,0.0,1,0.0,0.1,6.0,7,,,,0,grp_aeeddbaa92,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0094,create spending budget for october,buat anggaran pengeluaran bulan oktober,buat anggaran pengeluaran bulan oktober,create spending budget for october,7.0,1,7.0,1.0,60.0,8,,,,0,grp_a424b8f125,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0095,"return jeans, got the wrong pair","kembalikan jeans, salah ukuran","kembalikan jeans, salah ukuran","return jeans, got the wrong pair",3.0,1,3.0,3.0,180.0,9,,,,0,grp_b985e72d07,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0096,ask friends to pay me back for atlanta trip,minta teman membayar kembali untuk trip ke atlanta,minta teman membayar kembali untuk trip ke atlanta,ask friends to pay me back for atlanta trip,-1.0,0,,0.1,6.0,10,,,,0,grp_7e3063054f,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0097,plan a date with my boyfriend,rencanakan kencan dengan pacar,rencanakan kencan dengan pacar,plan a date with my boyfriend,3.0,1,3.0,0.2,12.0,10,,,,0,grp_f893942716,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0098,clean out and organize files on computer,bersihkan dan rapikan file di komputer,bersihkan dan rapikan file di komputer,clean out and organize files on computer,-1.0,0,,0.3,18.0,3,,,,0,grp_f5133180d1,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0099,get my nails done at salon nearby,manicure di salon terdekat,manicure di salon terdekat,get my nails done at salon nearby,14.0,1,14.0,2.0,120.0,2,,,,0,grp_228123944a,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0100,move car from tow/violation zone immediately,segera pindahkan mobil dari zona derek/pelanggaran,segera pindahkan mobil dari zona derek/pelanggaran,move car from tow/violation zone immediately,0.0,1,0.0,0.5,30.0,9,,,,0,grp_67e295fffe,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0101,pick up medication before pharmacy closes,ambil obat sebelum apotek tutup,ambil obat sebelum apotek tutup,pick up medication before pharmacy closes,0.0,1,0.0,0.75,45.0,9,,,,0,grp_e3a5c11b5d,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0102,take prescribed antibiotic on schedule,minum antibiotik resep sesuai jadwal,minum antibiotik resep sesuai jadwal,take prescribed antibiotic on schedule,0.0,1,0.0,0.05,3.0,10,,,,0,grp_9ece964c36,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0103,respond to recruiter to confirm interview slot today,balas recruiter untuk konfirmasi jadwal wawancara hari ini,balas recruiter untuk konfirmasi jadwal wawancara hari ini,respond to recruiter to confirm interview slot today,0.0,1,0.0,0.25,15.0,10,,,,0,grp_98f5b2794f,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
