task_en,tugas,jatuh_tempo_hari,durasi_jam,tingkat_kepentingan_1_10,notes_en,catatan
ask friends to pay me back for atlanta trip,minta teman membayar kembali untuk trip ke atlanta,-1,0.1,10,,
plan a date with my boyfriend,rencanakan kencan dengan pacar,3,0.2,10,,
clean out and organize files on computer,bersihkan dan rapikan file di komputer,-1,0.3,3,,
get my nails done at salon nearby,manicure di salon terdekat,14,2,2,,
move car from tow/violation zone immediately,segera pindahkan mobil dari zona derek/pelanggaran,0,0.5,9,,
pick up medication before pharmacy closes,ambil obat sebelum apotek tutup,0,0.75,9,,
take prescribed antibiotic on schedule,minum antibiotik resep sesuai jadwal,0,0.05,10,,
respond to recruiter to confirm interview slot today,balas recruiter untuk konfirmasi jadwal wawancara hari ini,0,0.25,10,,
sign offer letter before acceptance deadline today,tanda tangan surat penawaran kerja sebelum deadline hari ini,0,0.25,10,,
upload grant application before portal closes at 5pm,unggah aplikasi grant sebelum portal tutup jam 5 sore,0,3,10,,
freeze credit after suspected fraud,bekukan kredit setelah dugaan penipuan,0,0.5,10,,
dispute unauthorized charge within 24 hours,ajukan sanggahan transaksi tidak sah dalam 24 jam,0,0.5,10,,
meet delivery driver at lobby now,temui kurir di lobi sekarang,2,0.05,8,,
bring id to dmv appointment this morning,bawa KTP untuk janji temu DMV pagi ini,0,2,9,,
practice coding interview arrays for 30 minutes,latihan soal array untuk interview coding selama 30 menit,1,0.75,8,,
confirm study group time for next week,konfirmasi jadwal kelompok belajar minggu depan,3,2,6,,
update project readme with setup steps,update readme project dengan langkah instalasi,2,1,7,,
outline history essay (intro + 3 points),buat kerangka esai sejarah (pendahuluan + 3 poin),5,2,8,,
browse three job postings and save favorites,cari tiga lowongan kerja dan simpan favorit,3,1,6,,
export citation list to bibtex,ekspor daftar sitasi ke bibtex,4,0.5,7,,
wipe baseboards in living room,lap bagian bawah dinding (baseboard) ruang tamu,6,1,2,,
draft a polite email to advisor with a question,tulis draf email sopan ke dosen pembimbing berisi pertanyaan,1,0.25,7,,
rename files with date prefixes,ganti nama file dengan awalan tanggal,-1,0.5,3,,
check tire pressure and add air if needed,cek tekanan ban dan isi angin jika perlu,7,0.5,6,,
batch cook two dinners for busy nights,masak dua porsi makan malam sekaligus untuk hari sibuk,3,2,3,,
define research question and hypotheses,tentukan pertanyaan riset dan hipotesis,2,2,8,,
skim abstracts to filter relevance,baca sekilas abstrak untuk saring relevansi,4,2,7,,
identify gaps/opportunities from literature,identifikasi celah/peluang dari studi literatur,3,2,6,,
create conda/poetry environment file,buat file environment conda/poetry,1,1,7,,
implement data validation checks,implementasi pengecekan validasi data,5,2,8,,
rehearse talk and time it to slot length,latihan presentasi dan sesuaikan waktunya dengan slot,6,2,5,,
treat colony with formic acid as needed,obati koloni lebah dengan asam format bila perlu,3,1,7,,
harvest capped frames and extract honey,panen bingkai madu yang tertutup dan ekstrak madu,4,3,4,beekeeping,budidaya lebah
insulate hive for winter and reduce entrance,isolasi sarang lebah untuk musim dingin dan perkecil pintu masuk,5,2,5,,
fire glaze load to cone 6 with hold,bakar glasir keramik hingga cone 6 dengan waktu tahan,7,1,6,ceramics,keramik
refresh sourdough starter and schedule feedings,perbarui starter sourdough dan jadwalkan pemberian makan,1,0.25,5,fermentation/food science,fermentasi/ilmu pangan
log ros bag for 10 minutes of operation,rekam ros bag selama 10 menit operasi,9,0.2,7,,
tune pid gains for wheel encoder feedback,atur parameter pid untuk feedback wheel encoder,3,2,8,,
tune guitar,stem gitar,5,0.5,2,,
calibrate imu bias and update sensor fusion,kalibrasi bias imu dan update sensor fusion,2,2,7,,
set custom white balance for studio lights,atur white balance khusus untuk lampu studio,6,0.5,5,,
shoot photos for fashion show,foto acara fashion show,9,3,6,,
photograph artwork in natural light,foto karya seni dengan cahaya alami,3,2,4,,
learn magic ring for crochet,belajar teknik magic ring untuk merajut (crochet),5,1,2,,
back up drafts to cloud,backup draft ke cloud,6,1,6,,
review grammar for past tense in spanish,review grammar bentuk lampau bahasa spanyol,8,2,6,,
do a 10-minute listening dictation,lakukan dikte listening 10 menit,3,0.25,7,,
write a 120-word diary entry,tulis catatan harian sebanyak 120 kata,0,0.5,5,,
inventory missing parts,inventarisasi komponen yang hilang,3,1,7,,
rate resturaunt on beli (food rating app),kasih rating restoran di aplikasi beli,-1,3,3,,
export calendar into notion,ekspor kalender ke notion,2,0.5,5,,
upload tasks in scheduling site,unggah tugas di situs penjadwalan,8,0.5,6,,
register for classes for spring,daftar mata kuliah untuk semester genap,30,2,8,,
check degree audit requirements,cek persyaratan audit gelar,12,1,9,,
meet academic advisor to plan schedule,temui dosen pembimbing akademik untuk rencanakan jadwal,7,1,8,,
add/drop a course before the deadline,tambah/hapus mata kuliah sebelum deadline,5,0.5,8,,
request a prerequisite override,ajukan pembebasan prasyarat mata kuliah,3,0.5,9,,
buy required textbooks used,beli buku kuliah wajib bekas,8,1,6,,
borrow a course reserve from the library,pinjam buku referensi mata kuliah dari perpustakaan,5,0.5,7,,
print syllabi for each class,cetak silabus tiap mata kuliah,9,0.5,3,,
set up course folders in google drive,buat folder mata kuliah di google drive,2,0.5,5,,
join the class discord/slack,gabung discord/slack kelas,0,0.25,6,,
post an introduction on the course forum,posting perkenalan diri di forum mata kuliah,3,0.5,7,,
form a study group for calculus,bentuk kelompok belajar kalkulus,-1,1,7,,
reserve a study room for midterm review,pesan ruang belajar untuk review UTS,3,0.5,8,,
attend office hours with prepared questions,menghadiri jam konsultasi dosen dengan pertanyaan yang sudah disiapkan,1,1,6,,
email professor about a missed lecture,kirim email ke dosen soal kuliah yang terlewat,0,0.25,8,,
takes notes for chapter 2,buat catatan untuk bab 2,5,2,7,,
watch the recorded lecture to catch up,tonton rekaman kuliah untuk mengejar ketertinggalan,-1,1,6,,
create formula cheat sheet,buat contekan rumus,6,2,9,,
download lecture slides and annotate,unduh slide kuliah dan beri catatan,3,1,8,,
collect lab data and upload the csv,kumpulkan data lab dan upload csv,4,1,7,,
record a practice presentation video,rekam video latihan presentasi,2,1,5,,
write the methods section of the lab report,tulis bagian metode di laporan praktikum,6,3,6,,
submit a draft to the writing center,kirim draf ke writing center,4,1,8,,
make plots for the lab report in python,buat grafik untuk laporan praktikum di python,6,3,6,,
request a recommendation letter from a professor,minta surat rekomendasi dari dosen,7,0.5,9,,
order a replacement student id,pesan kartu mahasiswa pengganti,3,0.25,8,,
upload an unofficial transcript to the portal,unggah transkrip tidak resmi ke portal,2,0.25,7,,
"complete mandatory training modules (ferpa, sexual misconduct)","selesaikan modul pelatihan wajib (ferpa, pelecehan seksual)",7,2,10,,
pay tuition balance or set a payment plan,bayar sisa uang kuliah atau atur cicilan,5,0.5,10,,
pick up mentee for mentorship program,jemput mentee untuk program mentoring,3,1,5,,
meet teammates to divide project tasks,temui rekan tim untuk bagi tugas project,4,1,6,,
change light bulb,ganti bohlam lampu,1,0.25,3,,
set calendar reminders for upcoming bills,atur pengingat kalender untuk tagihan mendatang,5,0.25,7,,
sweep the kitchen floor,sapu lantai dapur,-1,0.25,3,,
warm up for 10 minutes,pemanasan selama 10 menit,0,0.2,4,,
take a dance class,ikut kelas dansa,-1,1.5,5,,
go to pilates,ikut kelas pilates,-1,1.5,2,,
book studio space for rehearsal,booking studio untuk latihan,7,0.5,7,,
sign up for coffee chats,daftar sesi ngobrol santai (coffee chat),2,0.25,5,,
ask for referral from relative at tech company,minta referral dari saudara di perusahaan teknologi,4,0.25,9,,
follow up on last week's applications,follow up lamaran kerja minggu lalu,3,0.5,8,,
prepare for technical interview and make cheat sheet,persiapan wawancara teknis dan buat contekan,2,4,8,,
tailor resume to job posting,sesuaikan CV dengan lowongan kerja,6,2,7,,
set job alerts for preferred titles and cities,atur notifikasi lowongan untuk posisi dan kota pilihan,7,0.25,9,,
block 2 hours for focused job search,sisihkan 2 jam khusus untuk cari kerja fokus,4,2,6,,
organize a portfolio/case study outline,susun kerangka portofolio/studi kasus,3,2,7,,
list 3 target roles and required skills,buat daftar 3 posisi kerja target dan skill yang dibutuhkan,7,1,5,,
track applications in a simple spreadsheet,catat lamaran kerja di spreadsheet sederhana,4,0.5,6,,
buy shoe racks for apartment,beli rak sepatu untuk apartemen,2,0.5,3,,
find a new set of spare keys,cari set kunci cadangan baru,8,0.25,5,,
create to do list,buat daftar tugas,6,0.5,7,,
finish modern control theory homework,selesaikan PR modern control theory,3,8,10,"may need to ask some help, can't wait too long","mungkin perlu bantuan, tidak bisa menunggu terlalu lama"
take a shower + skincare,mandi + skincare,0,0.6,6,,
watch an episode of better call saul,nonton satu episode better call saul,-1,1,2,,
put clothes away,simpan baju ke lemari,-1,0.25,5,,
eat something,makan sesuatu,0,1,10,,
fill brita,isi ulang filter air brita,0,0.08,6,,
finish project 1,selesaikan project 1,10,12,10,,
pack for fall break trip,packing untuk trip fall break,18,3,10,,
do space robotics accomplisment slides,buat slide pencapaian space robotics,4,0.16,10,,
add songs to spotify playlists,tambah lagu ke playlist spotify,-1,10,3,,
buy milk,beli susu,7,0.3,4,,
watch an episode of long story short,nonton satu episode long story short,-1,0.42,2,,
apply to 50 jobs,melamar ke 50 lowongan kerja,-1,9,8,,
do laundry,cuci baju,4,0.3,7,,
compile ex's clothes,kumpulkan baju milik mantan,-1,0.5,4,,
buy mom's birthday gift,beli hadiah ulang tahun ibu,20,2,10,,
decide on my birthday weekend plan,putuskan rencana akhir pekan ulang tahun,41,1,5,,
clip fingernails,potong kuku tangan,5,0.25,7,,
paint nails,cat kuku,-1,1,1,,
do machine learning and ai homework,kerjakan PR machine learning dan ai,4,7,10,,
pay credit card,bayar kartu kredit,22,0.05,10,,
wipe down dresser,lap lemari laci,-1,0.16,3,,
collect data for project 1,kumpulkan data untuk project 1,2,3,10,,
play tennis,main tenis,-1,1.5,3,,
wash water bottle,cuci botol minum,3,0.25,7,,
buy snacks,beli camilan,7,0.3,5,,
wash that one shirt,cuci baju yang itu,10,0.3,2,needs to be washed cold and air dried,perlu dicuci air dingin dan dikeringkan diangin-anginkan
vacuum my floor,vacuum lantai kamar,4,0.25,6,,
schedule appointment with therapist,buat janji dengan terapis,3,0.08,6,,
organize desktop screenshots,rapikan screenshot di desktop,-1,1,5,,
delete photos on phone,hapus foto di HP,-1,2,4,,
get a haircut,potong rambut,70,1.5,6,,
read one chapter of 1984,baca satu bab buku 1984,-1,0.3,3,,
do basquiat puzzle,susun puzzle bergambar basquiat,-1,3,3,,
practice piano,latihan piano,-1,2,3,,
buy jewelry,beli perhiasan,-1,0.5,1,,
take out trash,buang sampah,5,0.2,7,,
go to asa gbm,hadiri gbm asa,2,1,2,,
delete spotify playlists,hapus playlist spotify,-1,4,2,,
do special topics homework,kerjakan PR mata kuliah special topics,5,10,10,,
buy groceries,belanja bahan makanan,7,1.2,7,,
talk to jaden and eloise about booth,bicara dengan jaden dan eloise soal booth,20,0.6,6,,
sketch something,membuat sketsa,-1,0.5,2,,
give booth money to jaden and eloise,berikan uang booth ke jaden dan eloise,30,0.2,7,,
respond to texts,balas chat,4,0.5,6,,
wash dishes,cuci piring,1,0.3,7,,
unsubscribe from emails,berhenti berlangganan email,-1,0.5,2,,
reply to emails,balas email,2,0.5,7,,
email heather about lander dimensions,kirim email ke heather soal dimensi lander,0,0.2,10,,
dust furniture,bersihkan debu furnitur,6,0.25,6,,
put shoes away,simpan sepatu di rak,8,0.1,2,,
wash pillowcase,cuci sarung bantal,3,0.3,7,,
pre-check in for ct scan,pre-check in untuk CT scan,2,0.1,7,,
rsvp to party,konfirmasi kehadiran pesta (RSVP),3,0.1,1,,
text mason to schedule lunch,chat mason untuk atur jadwal makan siang,0,0.1,3,,
fix lander drawing dimensions,perbaiki dimensi gambar lander,2,2,10,,
buy shampoo,beli sampo,10,0.1,7,,
buy skincare,beli skincare,10,0.1,7,,
draft budget,buat draf anggaran,4,1,7,,
finish collecting data,selesaikan pengumpulan data,0,3,10,,
do some watercolor,melukis cat air,-1,1,2,,
buy trash bags,beli kantong sampah,3,0.5,7,,
respond to dad's text,balas chat ayah,2,0.1,4,,
study for midterm,belajar untuk UTS,4,10,10,,
wash bath mat,cuci keset kamar mandi,3,0.3,7,,
refill vitamin case,isi ulang tempat vitamin,2,0.1,6,,
run ansys simulation for space robotics,jalankan simulasi ansys untuk space robotics,2,3,10,,
finish writing lab report,selesaikan penulisan laporan praktikum,6,5,10,,
organize pantry,rapikan gudang bahan makanan,-1,0.5,1,,
throw out expired food,buang makanan kedaluwarsa,2,0.2,7,,
clean microwave,bersihkan microwave,3,0.2,3,,
replace vacuum filter,ganti filter vacuum cleaner,4,0.1,4,,
replace brita filter,ganti filter brita,2,0.1,7,,
change bedsheets,ganti seprai,3,0.27,7,,
proofread resume,periksa ulang CV,4,0.3,5,,
buy toilet paper,beli tisu toilet,1,0.5,10,,
buy new posters,beli poster baru,-1,1,1,,
redo poster wall layout,atur ulang layout poster di dinding,-1,1.2,1,,
meal prep for the week,meal prep untuk seminggu,2,1.5,6,,
clean stove,bersihkan kompor,4,0.25,3,,
refill car gas tank,isi bensin mobil,1,0.5,10,,
go to the gym,pergi ke gym,7,1.5,3,,
play basketball,main basket,-1,1.5,3,,
wipe down kitchen counters,lap meja dapur,3,0.2,3,,
clean bathroom mirror,bersihkan cermin kamar mandi,7,0.2,2,,
clean the shower,bersihkan shower,2,0.3,6,,
organize bookshelf,rapikan rak buku,-1,0.5,1,,
water the plants,siram tanaman,3,0.1,7,,
brainstorm research ideas,brainstorming ide riset,2,0.6,10,,
empty dishwasher,kosongkan mesin cuci piring,1,0.2,6,,
wash fruit,cuci buah,0,0.1,7,,
cut fruit,potong buah,0,0.2,6,,
edit bibliography,edit daftar pustaka,3,0.3,10,,
fold origami,lipat origami,-1,0.4,1,,
light incense,nyalakan dupa,-1,0.05,1,,
light candle,nyalakan lilin,-1,0.05,1,,
go swimming,berenang,-1,1.5,3,,
play waterpolo,main polo air,-1,1.5,3,,
play pickleball,main pickleball,-1,1.5,3,,
play soccer,main sepak bola,-1,1.5,3,,
play volleyball,main voli,-1,1.5,3,,
play beach volleyball,main voli pantai,-1,1.5,3,,
go ice skating,main ice skating,-1,1.5,3,,
play ice hockey,main ice hockey,-1,1.5,3,,
do 10 sit ups,lakukan 10 kali sit up,-1,0.25,2,,
paint toe nails,cat kuku kaki,-1,1.25,1,,
remove makeup,hapus makeup,0,0.2,7,,
make coffee,buat kopi,0,0.1,4,,
play league of legends,main game league of legends,-1,1,1,,
play valorant,main game valorant,-1,1,1,,
play counterstrike global offensive,main game counter-strike global offensive,-1,1,1,,
plan halloween costume,rencanakan kostum halloween,20,0.5,6,,
buy halloween costume,beli kostum halloween,25,0.2,6,,
plan colin's birthday party,rencanakan pesta ulang tahun colin,17,1,7,,
schedule eye appointment,buat janji periksa mata,7,0.2,8,,
go to the dentist,periksa ke dokter gigi,20,1.5,6,,
do yearly check up with doctor,medical check up tahunan ke dokter,20,1.5,6,,
get my nose done,operasi hidung,-1,3,1,,
get botox,suntik botox,-1,2,1,,
get lip fillers,filler bibir,-1,2,1,,
hem my jeans,permak celana jeans,30,1,4,,
apply for a credit card,ajukan kartu kredit,25,0.25,6,,
call my mom,telepon ibu,3,0.5,8,,
call my dad,telepon ayah,3,0.5,8,,
call my grandma,telepon nenek,3,0.3,8,,
call my cousins,telepon sepupu,3,0.25,7,,
plan trip to guadalajara,rencanakan trip ke guadalajara,-1,0.5,2,,
break up with my boyfriend,putus dengan pacar,5,0.6,7,,
return clothes to ex,kembalikan baju ke mantan,20,0.5,7,,
retake id photo,foto ulang untuk KTP,30,1,6,,
feed my dog,beri makan anjing,0,0.2,10,,
feed my cat,beri makan kucing,0,0.2,10,,
walk my dog,jalan-jalan dengan anjing,0,0.5,10,,
play with my dog,main dengan anjing,0,0.5,5,,
walk my cat,jalan-jalan dengan kucing,0,0.3,5,,
feed my fish,beri makan ikan,0,0.2,10,,
pay rent,bayar sewa,14,0.1,10,,
delete minecraft,hapus game minecraft,-1,0.1,1,,
replace phone screen,ganti layar HP,50,0.2,6,,
sell clothes,jual baju,-1,0.6,3,,
plan spring course schedule,rencanakan jadwal mata kuliah semester depan,70,2,9,,
buy a new waterbottle,beli botol minum baru,7,0.2,4,,
close certificate of deposit account,tutup rekening deposito,4,0.25,10,,
buy a portable charger,beli powerbank,16,0.2,4,,
knit a scarf,merajut syal,-1,1,1,,
buy an electric guitar,beli gitar listrik,-1,1.5,2,,
pay electricity bill,bayar tagihan listrik,18,0.1,10,,
pay wifi bill,bayar tagihan wifi,18,0.1,10,,
buy denzel curry tickets,beli tiket konser denzel curry,20,0.2,6,,
buy birthday gift for dad,beli hadiah ulang tahun untuk ayah,37,1,10,,
reply to sally about fall break plans,balas sally soal rencana fall break,2,0.2,8,,
make solo day plans for fall break,buat rencana jalan-jalan sendiri saat fall break,15,2,5,,
practice drums,latihan drum,-1,1.5,3,,
retape posters to the wall,tempel ulang poster di dinding,18,0.3,3,,
buy new perfume,beli parfum baru,20,0.2,3,,
buy a new phone case,beli casing HP baru,80,0.2,4,,
charge toothbrush,cas sikat gigi elektrik,3,0.08,4,,
change camera battery,ganti baterai kamera,15,0.1,4,,
change the mirror light batteries,ganti baterai lampu cermin,-1,0.1,2,,
charge the portable charger,cas powerbank,8,0.1,6,,
assemble new desk,merakit meja baru,20,0.5,7,,
buy a house plant,beli tanaman hias,-1,0.75,1,,
wipe down desk,lap meja,4,0.2,4,,
text sophia back,balas chat sophia,2,0.1,6,,
get my resuable bag back from jaden,ambil kembali tas reusable dari jaden,80,0.5,4,,
buy flowers for mom,beli bunga untuk ibu,23,0.5,8,,
buy nirvana poster,beli poster nirvana,-1,0.4,1,,
sign up for presentation time slot,daftar slot waktu presentasi,2,0.1,10,,
ship out sally's comforter,kirim selimut milik sally,40,0.5,6,,
delete unused apps,hapus aplikasi yang tidak dipakai,-1,1,1,,
write a song in garageband,tulis lagu di garageband,-1,2,1,,
text eunice back,balas chat eunice,3,0.1,3,,
plan family bonding,rencanakan acara kumpul keluarga,15,0.5,2,,
go for a run,lari pagi/sore,-1,1,2,,
buy new eyeliner,beli eyeliner baru,30,0.1,3,,
buy new hair ties,beli ikat rambut baru,24,0.1,3,,
clean laptop keyboard,bersihkan keyboard laptop,14,0.15,3,,
clean laptop screen,bersihkan layar laptop,14,0.15,3,,
fold clothes,lipat baju,2,0.4,7,,
fold towels,lipat handuk,2,0.3,7,,
freeze leftovers,bekukan makanan sisa,0,0.2,7,,
buy paper towels,beli tisu dapur,0,0.5,8,,
bake banana bread,memanggang banana bread,-1,1.5,1,,
make curry for the potluck,masak kari untuk acara potluck,4,2,7,,
cook rice,masak nasi,4,0.65,7,,
vacuum the dining room,vacuum ruang makan,4,0.25,6,,
clean my jewelry,bersihkan perhiasan,6,0.3,4,,
do the new york times crossword,isi teka-teki silang new york times,0,0.07,8,,
do the new york times sudoku,isi sudoku new york times,0,0.03,8,,
play the linkedin games,main game linkedin,0,0.16,8,,
get suit tailored,jahitkan jas,17,0.5,6,,
buy christmas presents for family,beli hadiah natal untuk keluarga,65,2,9,,
go to the symphony,menonton konser simfoni,-1,3,2,,
finish dynamics homework,selesaikan PR dinamika,5,7,10,,
submit project 2 draft,kumpulkan draf project 2,4,8,10,,
outline essay conclusion,buat kerangka kesimpulan esai,8,2,8,,
start literature review notes,mulai catatan tinjauan literatur,2,1.5,8,,
upload slides for presentation,unggah slide presentasi,8,0.2,10,,
organize research citations,rapikan sitasi riset,7,0.25,7,,
schedule lab time,atur jadwal waktu praktikum,10,0.15,8,,
research grad schools,riset kampus untuk S2,-1,1,7,,
prepare for mechanical engineering technical interview,persiapan wawancara teknis teknik mesin,-1,1.5,10,,
prepare for robotics technical interview,persiapan wawancara teknis robotika,-1,1.5,10,,
practice behavioral questions for interview,latihan pertanyaan perilaku untuk wawancara,-1,1,10,,
clean water bottle for mold,bersihkan botol minum dari jamur,-1,0.05,4,,
buy an extra charger,beli charger cadangan,-1,0.25,3,,
buy a new sunscreen,beli sunscreen baru,8,0.2,2,,
archive and delete any unimportant emails,arsipkan dan hapus email yang tidak penting,-1,1,1,,
try out bob ross painting tutorial,coba tutorial melukis ala bob ross,-1,2.5,1,,
relearn how to harmonize,belajar lagi cara harmoni bernyanyi,-1,1,1,,
create portfolio website to use while applying,buat website portofolio untuk melamar kerja,3,4,5,,
