"judul","deskripsi","langkah","kategori","language","sumber"
"Nulis tinjauan pustaka","nulis bab tinjauan pustaka","Buka folder referensi dan salin 3 judul sumber pertama ke dokumen kerja|Kelompokin sumber per tema|Tulis 1 paragraf buat tema pertama|Lanjut tema berikutnya|Sambungin jadi satu alur","Akademik","id","terjemahan"
"Nentuin topik skripsi","milih topik buat skripsi","Tulis 3 bidang yang kamu minati|Cari tau topik apa yang lagi banyak dibahas|Cek ketersediaan data atau narasumber|Diskusiin sama dosen atau teman|Pilih satu dan tulis alasannya","Akademik","id","terjemahan"
"Siapin bimbingan","nyiapin bahan buat ketemu dosen pembimbing","Buka progres terakhir yang udah dikerjain|Tulis apa yang udah selesai|Tulis 3 pertanyaan yang mau ditanyain|Siapin file yang perlu ditunjukin|Konfirmasi jadwal ketemunya","Akademik","id","terjemahan"
"Bikin rencana penelitian","nyusun rencana penelitian","Buka draf proposal dan tulis satu kalimat soal masalah utama yang mau kamu jawab|Tentuin metode yang mau dipakai|Bikin timeline kasar per bulan|Tulis alat atau data yang dibutuhin|Cek ulang kelayakannya","Akademik","id","terjemahan"
"Nulis abstrak","nulis abstrak buat paper atau skripsi","Buka bagian pendahuluan dan kesimpulan|Tulis 1 kalimat soal masalahnya|Tulis 1 kalimat soal metodenya|Tulis 1 kalimat soal hasilnya|Rapikan jadi satu paragraf utuh","Akademik","id","terjemahan"
"Nulis pendahuluan","nulis bab pendahuluan","Buka dokumen dan tulis judul babnya|Tulis 3 poin kenapa topik ini penting|Kembangin poin pertama jadi paragraf|Lanjut poin kedua dan ketiga|Tambahin rumusan masalah dan tujuan","Akademik","id","terjemahan"
"Nulis pembahasan","nulis bab pembahasan","Buka data hasil penelitian|Tulis temuan utamanya dulu|Hubungin temuan sama teori yang dipakai|Tulis keterbatasan penelitiannya|Rapikan alurnya","Akademik","id","terjemahan"
"Rapikan format tugas","benerin format sebelum dikumpulin","Baca ketentuan format yang diminta|Betulin margin dan ukuran font|Cek penomoran halaman dan judul|Cek daftar isi kalau ada|Simpan versi final","Akademik","id","terjemahan"
"Kumpulin tugas","submit tugas ke portal atau dosen","Cek lagi file yang mau dikumpulin|Pastiin nama file sesuai ketentuan|Buka portal atau email tujuan|Upload dan cek berhasil masuk|Simpan bukti pengumpulannya","Akademik","id","terjemahan"
"Kejar kelas yang bolong","nyusul materi kelas yang kelewat","Buka chat kelas dan kirim pesan ke satu teman buat minta catatan hari itu|Baca materi yang kelewat|Catat bagian yang bingung|Tanya teman atau dosen soal itu|Kerjain tugas yang menyertainya","Akademik","id","terjemahan"
"Rapikan file kuliah","beresin file materi kuliah","Buat folder per mata kuliah|Pindahin file yang jelas kategorinya|Kasih nama file yang konsisten|Hapus file duplikat|Backup ke cloud","Akademik","id","terjemahan"
"Siapin tugas kelompok","nyiapin bagian buat tugas kelompok","Buka grup dan baca pembagian tugasnya|Kerjain bagian kamu aja dulu|Kirim hasilnya ke grup|Cek bagian teman kalau sempat|Bantu gabungin jadi satu file","Akademik","id","terjemahan"
"Latihan presentasi","latihan sebelum presentasi","Buka slide yang udah jadi|Baca isinya sekali sambil ngomong|Latihan sekali sambil diitung waktunya|Catat bagian yang kepanjangan|Latihan sekali lagi setelah dipangkas","Akademik","id","terjemahan"
"Bikin jadwal belajar","nyusun jadwal belajar","Tulis materi apa aja yang perlu dipelajari|Cek deadline dan tanggal ujiannya|Bagi materi ke slot waktu per hari|Sisipin waktu istirahat|Tempel di tempat yang keliatan","Akademik","id","terjemahan"
"Baca masukan dosen","baca dan tindak lanjuti feedback","Baca semua catatan revisi sekali dulu|Kelompokin mana yang mirip|Urutin dari yang paling gampang|Kerjain yang paling gampang dulu|Tandai yang udah dibenerin","Akademik","id","terjemahan"
"Rencanain kerjaan minggu ini","nyusun rencana kerja mingguan","Buka kalender dan lihat jadwal yang udah ada|Tulis semua kerjaan yang harus kelar minggu ini|Tandai mana yang paling mendesak|Taruh ke hari yang masuk akal|Sisain ruang buat hal tak terduga","Kerja","id","terjemahan"
"Siapin rapat","nyiapin bahan sebelum rapat","Baca undangan dan agendanya|Tulis poin yang mau kamu sampaikan|Siapin data pendukung kalau perlu|Cek link atau ruangannya|Siapin catatan buat nulis hasil rapat","Kerja","id","terjemahan"
"Nulis notulen rapat","nulis catatan hasil rapat","Buka catatan mentah yang tadi ditulis|Rapikan jadi poin-poin keputusan|Tulis siapa ngerjain apa|Tulis tenggat tiap poin|Kirim ke peserta rapat","Kerja","id","terjemahan"
"Tindak lanjut rapat","ngerjain hasil keputusan rapat","Buka notulen rapatnya|Tandai bagian yang jadi tugas kamu|Kerjain yang paling cepat dulu|Kabarin progres ke tim|Jadwalin sisanya","Kerja","id","terjemahan"
"Beresin inbox email","balas email yang numpuk","Buka inbox dan urutin dari yang terbaru|Balas 3 yang paling penting dulu|Arsipkan yang nggak perlu dibalas|Tandai yang butuh waktu lama|Kosongin sisanya pelan-pelan","Kerja","id","terjemahan"
"Nulis email kerja","nulis email profesional","Tulis tujuan emailnya dalam 1 kalimat|Tulis isi utamanya|Tambahin salam pembuka dan penutup|Cek ejaan dan nama penerima|Kirim","Kerja","id","terjemahan"
"Bikin rencana proyek","nyusun rencana proyek","Buka dokumen proyek dan tulis satu kalimat soal hasil akhir yang mau dicapai|Pecah jadi 3-5 tahapan besar|Tulis siapa ngerjain tahapan mana|Kasih perkiraan waktu tiap tahap|Tulis risiko yang mungkin muncul","Kerja","id","terjemahan"
"Pantau progres proyek","ngecek sejauh mana proyek jalan","Buka rencana proyek yang udah dibuat|Tandai mana yang udah selesai|Catat mana yang telat dan kenapa|Sesuaikan jadwal sisanya|Kabarin tim","Kerja","id","terjemahan"
"Bikin laporan status","nulis laporan progres","Buka file progres terakhir dan salin angka atau status paling baru ke draf laporan|Tulis apa yang udah selesai|Tulis kendala yang ada|Tulis rencana berikutnya|Rapikan dan kirim","Kerja","id","terjemahan"
"Review draf kontrak","baca dan periksa draf kontrak","Baca sekali dari awal tanpa nyatet|Baca ulang sambil tandai yang janggal|Catat pertanyaan atau keberatan|Konsultasi kalau ada yang nggak jelas|Kirim balik dengan catatan","Kerja","id","terjemahan"
"Bikin presentasi","nyiapin slide presentasi","Buka slide kosong dan tulis judul buat 3 slide pertama|Bikin slide judul dan penutup dulu|Isi slide isi satu per satu|Tambahin gambar atau grafik secukupnya|Cek typo dan rapikan font","Kerja","id","terjemahan"
"Siapin wawancara kerja","nyiapin diri buat interview","Baca lagi deskripsi pekerjaannya|Cari tau soal perusahaannya|Siapin jawaban buat 5 pertanyaan umum|Siapin pertanyaan buat pewawancara|Siapin baju dan dokumen","Kerja","id","terjemahan"
"Update portofolio","perbarui portofolio kerja","Buka portofolio yang lama|Pilih 3 karya terbaru yang mau ditambahin|Tulis deskripsi singkat tiap karya|Hapus yang udah nggak relevan|Cek tampilannya di HP","Kerja","id","terjemahan"
"Update CV","perbarui CV","Buka CV yang lama|Tambahin pengalaman terbaru|Hapus yang udah nggak relevan|Sesuaikan sama posisi yang dituju|Cek typo dan format","Kerja","id","terjemahan"
"Lamar kerja","ngirim lamaran pekerjaan","Baca lagi syarat lowongannya|Sesuaikan CV sama posisi itu|Tulis surat lamaran singkat|Siapin dokumen pendukung|Kirim dan catat tanggalnya","Kerja","id","terjemahan"
"Bikin laporan","nyusun laporan kerja","Buka folder kerja dan salin file data paling baru ke satu folder laporan|Bikin kerangka laporannya|Isi bagian data dan analisis|Tulis kesimpulan dan saran|Rapikan format dan kirim","Kerja","id","terjemahan"
"Rapikan spreadsheet","beresin data di spreadsheet","Buka file dan lihat kolom apa aja yang ada|Hapus baris kosong atau dobel|Samain format tanggal dan angka|Kasih nama kolom yang jelas|Simpan versi bersihnya","Kerja","id","terjemahan"
"Analisis spreadsheet","nganalisis data di spreadsheet","Buka spreadsheet dan cek baris 1 sampai 10, tandai yang kosong atau salah format|Tentuin pertanyaan yang mau dijawab|Bikin tabel ringkasan|Bikin 1 grafik yang paling relevan|Tulis 3 temuan utama","Kerja","id","terjemahan"
"Siapin workshop","nyiapin materi workshop atau pelatihan","Buka dokumen workshop dan tulis siapa target pesertanya|Bikin outline materi|Siapin slide atau bahan praktik|Siapin contoh atau studi kasus|Cek alat dan ruangannya","Kerja","id","terjemahan"
"Delegasikan tugas","nyerahin tugas ke orang lain","Buka daftar tugas dan tandai satu tugas yang paling gampang dikerjain orang lain|Tentuin siapa yang paling cocok|Tulis instruksi dan hasil yang diharapkan|Sampaikan langsung atau lewat pesan|Sepakati tenggatnya","Kerja","id","terjemahan"
"Review kerjaan tim","ngecek hasil kerja anggota tim","Buka hasil kerjaan yang mau direview|Baca sekali tanpa ngasih komentar|Tandai yang bagus dan yang perlu diperbaiki|Tulis masukan yang spesifik|Kirim balik","Kerja","id","terjemahan"
"Rencanain kerjaan hari ini","nyusun rencana kerja harian","Lihat kalender hari ini|Tulis 3 hal terpenting yang harus kelar|Urutin sesuai jam produktif kamu|Sisipin waktu istirahat|Mulai dari yang pertama","Kerja","id","terjemahan"
"Siapin telepon klien","nyiapin diri sebelum telepon klien","Baca riwayat komunikasi terakhir|Tulis tujuan teleponnya|Siapin 3 poin yang mau dibahas|Siapin jawaban buat pertanyaan yang mungkin muncul|Cek nomor dan jamnya","Kerja","id","terjemahan"
"Nulis proposal","nyusun proposal","Buka dokumen proposal dan tulis satu kalimat soal masalah yang melatarbelakangi idemu|Tulis solusi yang ditawarkan|Rincian anggaran atau timeline|Tulis manfaat buat penerima proposal|Rapikan format dan cek ulang","Kerja","id","terjemahan"
"Rapikan file kerja","beresin file pekerjaan","Buat folder per proyek|Pindahin file yang jelas kategorinya|Kasih nama file yang konsisten|Hapus draf lama yang nggak kepakai|Backup ke cloud","Kerja","id","terjemahan"
"Beresin kamar","kamar udah berantakan","Kumpulin baju kotor ke keranjang|Kumpulin sampah yang keliatan|Kembaliin barang ke tempatnya|Rapikan satu permukaan dulu misalnya meja|Sapu atau pel lantainya","Rumah","id","terjemahan"
"Beresin meja","meja kerja atau belajar berantakan","Singkirin barang yang bukan tempatnya|Buang kertas atau sampah|Lap permukaan mejanya|Tata ulang barang yang sering dipakai|Rapikan kabel kalau ada","Rumah","id","terjemahan"
"Cuci baju","nyuci baju yang numpuk","Pisahin baju putih dan berwarna|Masukin ke mesin cuci sesuai takaran|Jemur setelah selesai|Angkat kalau udah kering|Lipat atau gantung","Rumah","id","terjemahan"
"Lipat baju","ngelipetin baju yang udah kering","Ambil baju dari jemuran|Pisahin per jenis atau per orang|Lipat satu tumpukan dulu|Masukin ke lemari|Gantung yang perlu digantung","Rumah","id","terjemahan"
"Cuci piring","nyuci piring kotor","Kumpulin piring kotor ke wastafel|Buang sisa makanan ke tempat sampah|Cuci gelas dan piring dulu|Cuci panci dan wajan terakhir|Lap dan tata di rak","Rumah","id","terjemahan"
"Beresin dapur","bersihin dapur","Cuci piring yang masih numpuk|Lap meja dan kompor|Buang sampah dapur|Rapikan bahan makanan ke tempatnya|Sapu lantainya","Rumah","id","terjemahan"
"Bersihin kamar mandi","bersihin kamar mandi","Singkirin barang dari lantai|Siram dan sikat kloset|Sikat lantai dan dinding bawah|Bersihin wastafel dan cermin|Ganti handuk dan isi ulang sabun","Rumah","id","terjemahan"
"Buang sampah","buang sampah yang numpuk","Kumpulin sampah dari tiap ruangan|Ikat kantongnya|Bawa ke tempat pembuangan|Pasang kantong baru di tempat sampah|Cuci tangan","Rumah","id","terjemahan"
"Belanja bulanan","belanja kebutuhan bulanan","Cek stok yang habis di rumah|Tulis daftar belanja|Cek budget yang tersedia|Belanja sesuai daftar|Rapikan barang setelah sampai rumah","Rumah","id","terjemahan"
"Siapin bekal seminggu","masak buat stok beberapa hari","Tentuin menu buat beberapa hari|Tulis bahan yang perlu dibeli|Belanja bahannya|Masak dalam jumlah besar sekaligus|Bagi ke wadah dan simpan di kulkas","Rumah","id","terjemahan"
"Masak makan malam","masak buat makan malam","Cek bahan yang ada di kulkas|Pilih menu yang bahannya lengkap|Siapin bahan dan alatnya|Masak sesuai urutan|Beresin dapur setelah selesai","Rumah","id","terjemahan"
"Rencanain menu","nyusun menu makan","Cek bahan yang masih ada|Tulis menu buat beberapa hari ke depan|Cek bahan apa yang kurang|Tulis daftar belanjanya|Tempel di kulkas","Rumah","id","terjemahan"
"Rapikan lemari","beresin lemari baju","Keluarin semua baju dari satu rak dulu|Pisahin yang masih dipakai dan yang nggak|Masukin lagi yang dipakai dengan rapi|Sisihin yang mau disumbangkan|Lanjut ke rak berikutnya","Rumah","id","terjemahan"
"Ganti sprei","ganti sprei dan sarung bantal","Lepas sprei dan sarung bantal yang lama|Masukin ke keranjang cucian|Pasang sprei yang bersih|Pasang sarung bantal dan guling|Rapikan selimut","Rumah","id","terjemahan"
"Siram tanaman","nyiram tanaman di rumah","Cek tanaman mana yang kering|Isi air ke penyiram|Siram satu-satu secukupnya|Buang daun yang kering|Geser yang butuh sinar matahari","Rumah","id","terjemahan"
"Bersihin kulkas","bersihin isi kulkas","Keluarin makanan yang udah basi|Keluarin isi satu rak dulu|Lap raknya|Masukin lagi dan tata per jenis|Lanjut ke rak berikutnya","Rumah","id","terjemahan"
"Kurangi barang di kamar","nyingkirin barang yang nggak kepakai","Pilih satu area kecil dulu|Ambil barang yang jelas nggak kepakai|Pisahin jadi buang sumbang simpan|Bereskan yang mau dibuang|Lanjut ke area berikutnya besok","Rumah","id","terjemahan"
"Rapikan dokumen","beresin dokumen penting di rumah","Kumpulin semua dokumen yang berserakan|Pisahin per jenis misalnya identitas dan keuangan|Masukin ke map atau folder|Buang yang udah kedaluwarsa|Simpan di tempat yang gampang diinget","Rumah","id","terjemahan"
"Packing buat pergi","nyiapin barang buat bepergian","Cek berapa hari perginya|Tulis daftar barang yang perlu dibawa|Siapin baju sesuai jumlah hari|Masukin dokumen dan alat mandi|Cek ulang daftarnya sebelum berangkat","Rumah","id","terjemahan"
"Bongkar tas setelah pergi","beresin barang setelah pulang","Keluarin baju kotor ke keranjang|Kembaliin barang ke tempatnya|Buang sampah dari dalam tas|Simpan dokumen ke tempat semula|Simpan tasnya","Rumah","id","terjemahan"
"Bersihin file laptop","laptop penuh file berantakan","Buat folder utama dulu|Pindahin file yang jelas kategorinya|Hapus file duplikat atau nggak kepakai|Kosongin recycle bin|Backup yang penting","Rumah","id","terjemahan"
"Backup file","nyimpen cadangan file penting","Tentuin file mana yang penting|Pilih tempat backup misalnya cloud atau hard disk|Salin file batch pertama|Cek hasil salinannya|Jadwalin backup berikutnya","Rumah","id","terjemahan"
"Rapikan foto","beresin foto di HP atau laptop","Buat album per kejadian atau bulan|Pindahin foto yang jelas kategorinya|Hapus foto blur atau dobel|Backup album yang penting|Lanjut sisanya lain waktu","Rumah","id","terjemahan"
"Bayar tagihan","bayar tagihan bulanan","Cek tagihan apa aja yang jatuh tempo|Buka aplikasi pembayaran|Bayar yang paling dekat jatuh temponya|Bayar sisanya|Simpan bukti bayarnya","Rumah","id","terjemahan"
"Bikin anggaran bulanan","nyusun anggaran bulan ini","Cek pemasukan bulan ini|Tulis pengeluaran tetap misalnya kos dan listrik|Tulis perkiraan pengeluaran harian|Sisihkan buat tabungan|Cek sisanya masuk akal apa nggak","Rumah","id","terjemahan"
"Perpanjang KTP atau SIM","ngurus perpanjangan dokumen identitas","Cek syarat dan dokumen yang diminta|Siapin berkas yang udah ada|Lengkapi yang masih kurang|Cek lokasi dan jam layanannya|Datang dan ambil nomor antrean","Administrasi","id","terjemahan"
"Urus berkas administrasi","ngurus dokumen administrasi","Cek syarat dan dokumen yang diminta|Siapin berkas yang udah ada|Fotokopi atau scan yang perlu|Datang atau upload ke tempat pengurusan|Simpan bukti pengurusannya","Administrasi","id","terjemahan"
"Bikin janji temu","bikin janji dengan dokter atau layanan","Tentuin tanggal dan jam yang kosong|Hubungi lewat telepon atau aplikasi|Konfirmasi jadwalnya|Catat di kalender|Pasang pengingat sehari sebelumnya","Administrasi","id","terjemahan"
"Pesan tiket perjalanan","pesan tiket kereta pesawat atau bus","Tentuin tanggal dan jam keberangkatan|Bandingin harga di 2 aplikasi|Pesan yang paling cocok|Bayar sebelum batas waktunya|Simpan bukti pemesanan","Administrasi","id","terjemahan"
"Siapin dokumen perjalanan","nyiapin dokumen sebelum bepergian","Cek dokumen apa yang diminta|Cek masa berlaku KTP atau paspor|Fotokopi atau scan sebagai cadangan|Masukin ke satu map|Simpan salinannya di HP","Administrasi","id","terjemahan"
"Retur belanja online","balikin barang yang dibeli online","Buka aplikasi dan cari pesanannya|Ajukan pengembalian dan pilih alasannya|Kemas barangnya seperti semula|Kirim lewat jasa yang ditentukan|Simpan resi dan pantau statusnya","Administrasi","id","terjemahan"
"Ambil paket","ngambil paket yang udah sampai","Cek lokasi dan jam pengambilan|Siapin identitas atau kode pengambilan|Datang ke lokasinya|Cek isi paketnya|Simpan bukti pengambilan","Administrasi","id","terjemahan"
"Kirim paket","ngirim barang lewat ekspedisi","Kemas barangnya dengan aman|Tulis alamat tujuan yang lengkap|Pilih jasa pengiriman|Bayar dan simpan resinya|Kabarin penerima nomor resinya","Administrasi","id","terjemahan"
"Ke bank","ngurus keperluan di bank","Tentuin keperluannya apa|Siapin dokumen yang dibutuhin|Cek jam operasional dan lokasinya|Datang dan ambil nomor antrean|Simpan bukti transaksinya","Administrasi","id","terjemahan"
"Ke kantor pemerintahan","ngurus keperluan di kantor pemerintah","Cek syarat dan dokumen yang diminta|Siapin semua berkasnya|Cek jam layanan dan lokasinya|Datang lebih awal buat antre|Simpan bukti pengurusan","Administrasi","id","terjemahan"
"Servis kendaraan","bawa kendaraan buat diservis","Cek kapan terakhir diservis|Cari bengkel dan cek jam bukanya|Bikin janji kalau perlu|Bawa kendaraannya|Simpan nota dan catat tanggalnya","Administrasi","id","terjemahan"
"Balikin buku perpustakaan","ngembaliin buku pinjaman","Kumpulin buku yang mau dikembaliin|Cek tanggal jatuh temponya|Cek jam buka perpustakaannya|Bawa dan kembaliin|Cek nggak ada denda yang tertinggal","Administrasi","id","terjemahan"
"Beli kebutuhan rumah","belanja perlengkapan rumah","Cek apa yang habis atau rusak|Tulis daftar yang perlu dibeli|Cek budgetnya|Beli sesuai daftar|Simpan struk kalau perlu garansi","Administrasi","id","terjemahan"
"Perpanjang langganan","perpanjang layanan berlangganan","Cek layanan apa yang mau habis|Cek harga dan paketnya|Bandingin sama alternatif lain|Bayar perpanjangannya|Catat tanggal jatuh tempo berikutnya","Administrasi","id","terjemahan"
"Berhentiin langganan","batalin layanan berlangganan","Cek layanan mana yang mau dihentikan|Cari menu pembatalan di aplikasi atau situsnya|Ikuti langkah pembatalannya|Pastiin dapat konfirmasi|Cek tagihan bulan depan nggak kepotong lagi","Administrasi","id","terjemahan"
"Daftar kelas atau kursus","daftar kelas atau pelatihan","Cek syarat dan biayanya|Siapin dokumen yang diminta|Isi formulir pendaftaran|Bayar biayanya kalau ada|Simpan bukti pendaftaran","Administrasi","id","terjemahan"
"Daftar acara","daftar buat ikut acara atau lomba","Baca syarat dan ketentuannya|Cek tanggal dan tempatnya|Isi formulir pendaftaran|Siapin berkas yang diminta|Simpan bukti dan catat di kalender","Administrasi","id","terjemahan"
"Scan dokumen","nge-scan dokumen jadi file","Kumpulin dokumen yang mau di-scan|Buka aplikasi scanner di HP|Scan satu-satu sambil dicek hasilnya|Kasih nama file yang jelas|Simpan ke folder dan backup","Administrasi","id","terjemahan"
"Print dokumen","nge-print dokumen","Cek file yang mau diprint|Cek ketentuan ukuran dan warnanya|Cek tinta dan kertas di printer|Print dan cek hasilnya|Simpan filenya","Administrasi","id","terjemahan"
"Cek pengiriman","ngecek status paket","Buka aplikasi atau situs ekspedisinya|Masukin nomor resinya|Cek posisi terakhir paketnya|Cek perkiraan tanggal sampai|Hubungi CS kalau statusnya mandek","Administrasi","id","terjemahan"
"Rencanain rute perjalanan","nyusun rute sebelum berangkat","Tentuin tujuan dan jam sampainya|Cek rute di aplikasi peta|Cek pilihan transportasinya|Perkirakan waktu tempuh plus macet|Simpan atau screenshot rutenya","Administrasi","id","terjemahan"
"Siapin pindahan","nyiapin pindah kos atau rumah","Tentuin tanggal pindahnya|Siapin kardus dan alat pengemas|Kemas barang per kategori|Cari jasa angkut kalau perlu|Cek nggak ada yang ketinggalan","Administrasi","id","terjemahan"
"Rapikan desktop","beresin tampilan desktop komputer","Buat folder penampung sementara|Pindahin semua file desktop ke situ|Kembaliin cuma yang sering dipakai|Sortir isi folder penampung pelan-pelan|Ganti wallpaper biar kerasa baru","Digital","id","terjemahan"
"Bersihin folder download","beresin folder unduhan","Urutin file berdasarkan tanggal|Hapus file yang jelas nggak kepakai|Pindahin yang penting ke folder yang benar|Hapus file duplikat|Kosongin recycle bin","Digital","id","terjemahan"
"Rapikan penyimpanan cloud","beresin file di cloud","Cek folder mana yang paling berantakan|Buat struktur folder yang jelas|Pindahin file ke folder yang sesuai|Hapus versi lama yang nggak kepakai|Cek sisa kuotanya","Digital","id","terjemahan"
"Backup HP","nyimpen cadangan data HP","Cek sisa kuota penyimpanan cloud|Pilih data apa yang mau di-backup|Jalanin backup foto dulu|Backup kontak dan pesan|Cek hasil backupnya berhasil","Digital","id","terjemahan"
"Kosongin memori HP","bikin ruang kosong di HP","Cek aplikasi mana yang paling makan memori|Hapus aplikasi yang nggak dipakai|Hapus foto dan video duplikat|Bersihin cache aplikasi|Pindahin file besar ke cloud","Digital","id","terjemahan"
"Rapikan kontak","beresin daftar kontak","Hapus kontak yang jelas nggak dikenal|Gabungin kontak yang dobel|Samain format penamaannya|Kasih label buat yang penting|Backup kontaknya","Digital","id","terjemahan"
"Update aplikasi","perbarui aplikasi di HP atau laptop","Buka toko aplikasi|Cek aplikasi mana yang perlu diupdate|Update yang penting dulu|Tunggu sampai selesai|Cek aplikasinya masih jalan normal","Digital","id","terjemahan"
"Update sistem operasi","perbarui OS HP atau laptop","Cek versi yang tersedia|Backup data penting dulu|Pastiin baterai cukup atau colok charger|Jalanin update|Cek semuanya normal setelah restart","Digital","id","terjemahan"
"Bikin struktur folder","nyusun struktur folder yang rapi","Tentuin kategori utamanya|Buat folder induk per kategori|Buat subfolder seperlunya|Pindahin file yang udah ada|Tulis aturan penamaan biar konsisten","Digital","id","terjemahan"
"Rename file","ngasih nama file yang konsisten","Tentuin format penamaannya|Mulai dari satu folder dulu|Rename file satu-satu atau sekaligus|Cek nggak ada yang kelewat|Terapin format yang sama ke folder lain","Digital","id","terjemahan"
"Hapus file duplikat","nyingkirin file yang dobel","Urutin file berdasarkan nama atau ukuran|Tandai yang jelas duplikat|Cek isinya sama sebelum dihapus|Hapus duplikatnya|Kosongin recycle bin","Digital","id","terjemahan"
"Bikin rutinitas backup","nyusun kebiasaan backup rutin","Tentuin data apa yang perlu di-backup|Pilih tempat penyimpanannya|Tentuin seberapa sering backup|Pasang pengingat berkala|Jalanin backup pertama sekarang","Digital","id","terjemahan"
"Amanin akun","ningkatin keamanan akun","Cek akun mana yang paling penting|Ganti password yang lemah|Nyalain verifikasi dua langkah|Cek perangkat yang pernah login|Keluarin perangkat yang nggak dikenal","Digital","id","terjemahan"
"Ganti password","ganti kata sandi akun","Tentuin akun mana yang mau diganti|Bikin password baru yang kuat|Ganti di pengaturan akunnya|Simpan di password manager|Cek bisa login pakai yang baru","Digital","id","terjemahan"
"Rapikan tab browser","beresin tab yang kebuka banyak","Lihat tab mana yang masih dibutuhin|Bookmark yang mau dibaca nanti|Tutup tab yang udah selesai|Kelompokin sisanya kalau browser mendukung|Tutup jendela yang nggak kepakai","Digital","id","terjemahan"
"Bikin filter email","nyusun filter biar inbox rapi","Lihat email jenis apa yang paling sering masuk|Buat satu filter buat jenis itu|Tentuin folder tujuannya|Tes filternya jalan|Buat filter berikutnya","Digital","id","terjemahan"
"Pasang pengingat kalender","nyetel pengingat di kalender","Tulis kegiatan apa yang perlu diingetin|Buka aplikasi kalender|Masukin tanggal dan jamnya|Setel pengingatnya berapa lama sebelumnya|Cek pengingatnya muncul","Digital","id","terjemahan"
"Bikin template","bikin template biar nggak mulai dari nol","Tentuin dokumen apa yang sering diulang|Buka contoh yang paling bagus|Hapus isi yang spesifik dan sisain kerangkanya|Simpan sebagai template|Coba pakai buat sekali","Digital","id","terjemahan"
"Bikin spreadsheet pelacak","bikin spreadsheet buat memantau sesuatu","Tentuin apa yang mau dilacak|Buat kolom yang dibutuhin|Isi beberapa baris contoh|Tambahin rumus kalau perlu|Simpan dan pakai rutin","Digital","id","terjemahan"
"Ekspor data","ngeluarin data dari aplikasi","Cari menu ekspor di aplikasinya|Pilih format yang dibutuhin|Jalanin ekspornya|Cek file hasilnya kebaca|Simpan ke folder yang benar","Digital","id","terjemahan"
"Impor data","masukin data ke aplikasi","Siapin file yang mau diimpor|Cek formatnya sesuai yang diminta|Cari menu impor di aplikasinya|Jalanin impornya|Cek datanya masuk dengan benar","Digital","id","terjemahan"
"Bikin folder berbagi","bikin folder yang bisa diakses bareng","Buat folder di cloud|Tentuin siapa aja yang boleh akses|Atur hak aksesnya lihat atau edit|Kirim tautannya ke mereka|Cek mereka bisa buka","Digital","id","terjemahan"
