judul,deskripsi,langkah,sumber,kategori,jumlah_langkah,langkah_pertama,profil_dekomposisi,catatan_adhd
Create study plan,create a plan for an exam,List the exam topics|Mark the topics by confidence level|Choose the weakest topic for the first session|Assign the remaining topics to available study blocks|Leave one block for practice and review,manual_curated,Academic,5,List the exam topics,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Review feedback,review feedback on academic work,Open the feedback and the submitted work together|Read all comments once without editing|Group comments by topic|Fix one group of comments at a time|Check the work against the feedback again,manual_curated,Academic,5,Open the feedback and the submitted work together,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan weekly work,plan work for the coming week,List the work that must be completed|Mark deadlines and fixed meetings|Choose the three highest-impact items|Place work into realistic time blocks|Leave space for unexpected tasks,manual_curated,Work,5,List the work that must be completed,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare meeting,prepare for a work meeting,Read the meeting agenda|Write the points you need to discuss|Collect the one or two supporting documents|Write any decisions you need from the meeting|Open the meeting link or room details,manual_curated,Work,5,Read the meeting agenda,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Write meeting notes,write notes from a meeting,Open the meeting agenda|Write the attendees and date|List the main decisions|List action items with owners and dates|Send or save the notes,manual_curated,Work,5,Open the meeting agenda,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Follow up meeting,follow up after a meeting,Open the meeting notes|Identify the actions assigned to you|Complete the easiest action first|Send any required follow-up message|Update the related task or calendar item,manual_curated,Work,5,Open the meeting notes,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Process inbox,process a work inbox,Open the inbox and scan the newest messages|Archive messages that need no action|Reply to messages that take less than two minutes|Turn longer requests into tasks|Flag anything waiting on another person,manual_curated,Work,5,Open the inbox and scan the newest messages,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Write professional email,write an important work email,Write the purpose of the email in one sentence|Add the key context the recipient needs|State the requested action clearly|Add the deadline or next step if needed|Read once for tone and accuracy before sending,manual_curated,Work,5,Write the purpose of the email in one sentence,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Create project plan,create a project plan,Write the project outcome|List the major deliverables|Break each deliverable into smaller tasks|Identify dependencies and owners|Add target dates,manual_curated,Work,5,Write the project outcome,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Track project progress,update project progress,Open the current project plan|Mark completed tasks|Update tasks that changed|Identify the next blocked item|Write a short progress summary,manual_curated,Work,5,Open the current project plan,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare status report,prepare a weekly status report,Collect completed work from the week|List current work in progress|Record blockers or risks|Write the next planned actions|Send the report to the required recipient,manual_curated,Work,5,Collect completed work from the week,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Review contract draft,review a contract draft for work,Open the current contract version|Read the document once for context|Mark unclear or inconsistent sections|Check the requested terms against the draft|List questions for the responsible person,manual_curated,Work,5,Open the current contract version,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Create presentation,create a business presentation,Define the presentation goal|List the three to five points the audience needs|Create the slide outline|Add evidence or visuals to each key point|Review the story from beginning to end,manual_curated,Work,5,Define the presentation goal,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare interview,prepare for a job interview,Read the job description|List the main skills the role requires|Prepare examples from your experience|Write questions to ask the interviewer|Practice answering the most likely questions,manual_curated,Work,5,Read the job description,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Update portfolio,update a professional portfolio,Open the current portfolio|List recent work worth adding|Choose the strongest examples|Update descriptions and results|Check links and presentation,manual_curated,Work,5,Open the current portfolio,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Update resume,update a resume,Open the latest resume|Add recent experience or achievements|Remove outdated information|Tailor the summary and skills to the target role|Check formatting and spelling,manual_curated,Work,5,Open the latest resume,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Apply for job,submit a job application,Read the job requirements|Check whether your resume matches the role|Adjust the resume where relevant|Complete the application form|Review all fields before submitting,manual_curated,Work,5,Read the job requirements,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare report,prepare a professional report,Define the report question|Collect the required data|Create a simple structure|Draft the findings section|Review the report against the original question,manual_curated,Work,5,Define the report question,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean spreadsheet,clean a work spreadsheet,Make a copy of the original file|Check the columns and data types|Remove obvious duplicates|Handle missing or inconsistent values|Review a sample of the cleaned data,manual_curated,Work,5,Make a copy of the original file,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Analyze spreadsheet,analyze a spreadsheet,Identify the question the data should answer|Check the relevant columns|Create a summary table|Look for the main pattern or change|Write the finding in plain language,manual_curated,Work,5,Identify the question the data should answer,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare workshop,prepare a work workshop,Define the workshop outcome|List the activities participants need to complete|Prepare the required materials|Put the activities in sequence|Check the timing from start to finish,manual_curated,Work,5,Define the workshop outcome,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Delegate task,delegate a task to a teammate,Define the outcome you need|Write the key requirements|Choose the person responsible|Set the deadline and check-in point|Confirm that the assignment is understood,manual_curated,Work,5,Define the outcome you need,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Review teammate work,review work from a teammate,Read the work once for overall understanding|Check it against the requirements|Mark the most important issues|Write specific comments or corrections|Send the review back with the next action,manual_curated,Work,5,Read the work once for overall understanding,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan daily work,plan today's work,List today's unfinished tasks|Check fixed meetings and deadlines|Choose one priority task|Estimate the time for the remaining important tasks|Block the available time,manual_curated,Work,5,List today's unfinished tasks,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare client call,prepare for a client call,Review the client context|Read the latest communication|Write the three points to discuss|Prepare supporting information|Open the call details before the meeting,manual_curated,Work,5,Review the client context,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Write proposal,write a client or business proposal,Define the client's problem|Write the proposed solution|List the main deliverables|Add timeline and pricing information if required|Review the proposal against the client's request,manual_curated,Work,5,Define the client's problem,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize work files,organize project files,Open the project folder|Create folders for the main file types|Move files into the correct folders|Rename unclear files|Keep one clearly marked current version,manual_curated,Work,5,Open the project folder,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean bedroom,clean a messy bedroom,Put dirty clothes in the laundry basket|Collect visible trash|Return loose items to their usual places|Clear one surface such as the desk|Sweep or vacuum the floor,manual_curated,Home,5,Put dirty clothes in the laundry basket,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean desk,clean a messy desk,Remove items that do not belong on the desk|Throw away obvious trash|Put papers into one temporary pile|Wipe the desk surface|Return only frequently used items,manual_curated,Home,5,Remove items that do not belong on the desk,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Do laundry,wash a pile of clothes,Collect the clothes into one place|Separate loads if needed|Put the first load in the machine|Start the wash cycle|Move the clothes to dry when finished,manual_curated,Home,5,Collect the clothes into one place,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Fold laundry,fold clean laundry,Bring the clean laundry to one place|Separate clothes by person or type|Fold the first five items|Continue until the pile is finished|Put the folded clothes away,manual_curated,Home,5,Bring the clean laundry to one place,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Wash dishes,wash dirty dishes,Collect dishes near the sink|Clear leftover food into the trash|Wash the easiest dishes first|Rinse and place them to dry|Wipe the sink area,manual_curated,Home,5,Collect dishes near the sink,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean kitchen,clean the kitchen,Clear food and dishes from the main counter|Put dishes in the sink or dishwasher|Wipe the main surfaces|Clean the stovetop if needed|Take out the trash if it is full,manual_curated,Home,5,Clear food and dishes from the main counter,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean bathroom,clean the bathroom,Remove items from the main surfaces|Clean the sink and mirror|Clean the toilet|Clean the shower or tub|Replace towels and return items,manual_curated,Home,5,Remove items from the main surfaces,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Take out trash,take out household trash,Collect the full trash bags|Check the other bins|Tie the bags securely|Take them to the collection point|Put fresh liners in the bins,manual_curated,Home,5,Collect the full trash bags,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Grocery shopping,buy weekly groceries,Check what food is already available|Write the items that need replacing|Group the list by store section|Shop using the list|Put cold items away first,manual_curated,Home,5,Check what food is already available,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Meal prep,prepare meals for several days,Choose the meals for the next few days|Check the ingredients|Prepare the ingredients together|Cook the main components|Portion and store the meals,manual_curated,Home,5,Choose the meals for the next few days,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Cook dinner,cook a simple dinner,Choose a meal and check the ingredients|Set out the tools and ingredients|Prepare the ingredients|Cook the meal in order|Clean the cooking area,manual_curated,Home,5,Choose a meal and check the ingredients,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan meals,plan meals for the week,Check your schedule for the week|Choose simple meals for busy days|List the ingredients needed|Check what you already have|Create the shopping list,manual_curated,Home,5,Check your schedule for the week,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize closet,organize a messy closet,Take out one small section|Group similar clothes together|Set aside items you no longer use|Put the items you keep back by category|Move the donation or discard pile out of the closet,manual_curated,Home,5,Take out one small section,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Change bedsheets,change the bedsheets,Remove the used sheets|Put them in the laundry basket|Get clean sheets and pillowcases|Make the bed with the clean set|Put the used sheets into the laundry load,manual_curated,Home,5,Remove the used sheets,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Water plants,water household plants,Check which plants have dry soil|Bring the watering container|Water the plants that need it|Empty excess water if needed|Return the watering tools,manual_curated,Home,5,Check which plants have dry soil,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean fridge,clean the refrigerator,Remove one shelf or section at a time|Throw away clearly spoiled food|Wipe the empty section|Return food by category|Check the door shelves,manual_curated,Home,5,Remove one shelf or section at a time,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Declutter room,declutter a room,Choose one small area|Create keep move and discard piles|Put away the keep items|Move items that belong elsewhere|Remove the discard pile,manual_curated,Home,5,Choose one small area,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize documents,organize household documents,Collect the loose documents|Create categories such as bills and records|Sort the documents into categories|File the important documents|Shred or discard items that are safe to remove,manual_curated,Home,5,Collect the loose documents,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Pack for trip,pack for a short trip,Check the destination and number of days|Write a short packing list|Collect clothes and toiletries|Pack essential items first|Check the list before closing the bag,manual_curated,Home,5,Check the destination and number of days,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Unpack after trip,unpack after returning home,Put the luggage in one place|Remove dirty laundry|Put toiletries back|Return clean items to their normal places|Store the empty luggage,manual_curated,Home,5,Put the luggage in one place,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean laptop files,clean up laptop files,Open the folders that contain the most clutter|Move files into clear folders|Rename files with unclear names|Delete confirmed duplicates or unnecessary files|Empty the recycle bin after checking,manual_curated,Home,5,Open the folders that contain the most clutter,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Back up files,back up important files,List the folders that contain important files|Connect or open the backup location|Copy the most important files first|Check that the backup completed|Keep the backup location accessible,manual_curated,Home,5,List the folders that contain important files,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize photos,organize digital photos,Choose one month or event to start|Delete obvious duplicates|Mark important photos|Move photos into a clear album structure|Back up the organized photos,manual_curated,Home,5,Choose one month or event to start,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Pay bills,pay monthly bills,List the bills and due dates|Open the required payment service|Pay the bill with the nearest due date|Check the payment status|Save the receipt,manual_curated,Home,5,List the bills and due dates,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan monthly budget,plan a monthly household budget,List expected income for the month|List fixed expenses|Estimate variable expenses|Set aside money for upcoming obligations|Compare the plan with the available balance,manual_curated,Home,5,List expected income for the month,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Renew ID document,renew an identity document,Check the current expiry date|Look up the required documents|Collect the documents you already have|Complete the application or booking|Attend the service or submit the application,manual_curated,Errands,5,Check the current expiry date,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Process administrative document,complete an administrative document request,Check the official requirements|Make a checklist of required documents|Prepare the available documents|Complete the missing requirements|Submit the request and save the receipt,manual_curated,Errands,5,Check the official requirements,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Book appointment,book an appointment,Identify the service you need|Check the available dates and locations|Choose a suitable time|Enter the required information|Save the confirmation,manual_curated,Errands,5,Identify the service you need,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Book travel ticket,book a travel ticket,Choose the travel date and destination|Compare suitable schedules and prices|Select the preferred option|Enter passenger information and pay|Save the booking confirmation,manual_curated,Errands,5,Choose the travel date and destination,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare travel documents,prepare documents for travel,Check the destination requirements|List the documents you need|Check expiry dates|Collect physical and digital copies|Store the documents in one accessible place,manual_curated,Errands,5,Check the destination requirements,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Return online purchase,return an online purchase,Check the return policy|Find the order and return option|Prepare the item and required packaging|Submit the return request|Keep the return receipt or tracking number,manual_curated,Errands,5,Check the return policy,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Pick up package,pick up a package,Check the delivery status|Confirm the pickup location and hours|Bring the required identification or code|Pick up the package|Check that the package is intact,manual_curated,Errands,5,Check the delivery status,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Send package,send a package,Choose the box or packaging|Pack and protect the item|Write or print the delivery information|Take the package to the courier|Keep the tracking receipt,manual_curated,Errands,5,Choose the box or packaging,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Go to bank,complete a bank errand,Check what service you need|Prepare identification and required documents|Check branch hours|Visit the branch or use the appropriate service|Save the transaction receipt,manual_curated,Errands,5,Check what service you need,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Visit government office,handle an in-person government service,Check the service requirements|Prepare all required documents|Confirm location and service hours|Complete the required process|Keep the receipt or reference number,manual_curated,Errands,5,Check the service requirements,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Schedule vehicle service,schedule vehicle maintenance,Check the vehicle's current mileage or issue|Find the required service|Choose a service location|Book a date and time|Save the appointment details,manual_curated,Errands,5,Check the vehicle's current mileage or issue,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare appointment,prepare for an important appointment,Check the appointment time and location|List what you need to bring|Prepare the documents or items|Write the questions you need answered|Set a reminder and travel buffer,manual_curated,Errands,5,Check the appointment time and location,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Return library books,return borrowed library books,Check which books are due|Gather the books|Check for items left inside|Bring them to the return point|Keep the return confirmation if available,manual_curated,Errands,5,Check which books are due,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Buy household supplies,buy household supplies,Check which supplies are running low|Write the shopping list|Group items by store section|Buy only the listed items|Put the supplies away at home,manual_curated,Errands,5,Check which supplies are running low,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Renew subscription,renew a service subscription,Check the renewal date and price|Decide whether you still need the service|Review the payment method|Confirm the renewal|Save the receipt or confirmation,manual_curated,Errands,5,Check the renewal date and price,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Cancel subscription,cancel an unwanted subscription,Find the active subscription|Check the cancellation terms|Open the account settings or service page|Complete the cancellation|Confirm that the renewal is disabled,manual_curated,Errands,5,Find the active subscription,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Register for class,register for a class or course,Check the course requirements|Choose the class and schedule|Complete the registration form|Submit payment or approval if required|Save the registration confirmation,manual_curated,Errands,5,Check the course requirements,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Register for event,register for an event,Check the event date and location|Review the registration requirements|Complete the registration form|Pay if required|Save the confirmation,manual_curated,Errands,5,Check the event date and location,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare documents for application,prepare documents for an application,Read the application checklist|Create a list of required documents|Collect documents already available|Request or create missing documents|Put all final documents into one folder,manual_curated,Errands,5,Read the application checklist,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Scan documents,scan paper documents,Collect the documents to scan|Open the scanning app or scanner|Scan one document at a time|Check that each scan is readable|Name and save the files,manual_curated,Errands,5,Collect the documents to scan,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Print documents,print documents for an appointment,Open the final document|Check the page count and formatting|Choose the correct printer settings|Print one copy first|Check the printed result before printing the rest,manual_curated,Errands,5,Open the final document,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare payment,prepare a payment for a deadline,Check the amount and due date|Confirm the payment method|Open the payment service|Complete the payment|Save the confirmation,manual_curated,Errands,5,Check the amount and due date,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Check delivery,check a delivery status,Find the order confirmation|Open the tracking information|Check the latest status|Note the expected delivery date|Set a reminder if action is required,manual_curated,Errands,5,Find the order confirmation,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan route,plan a route for an errand,List the places you need to visit|Check their opening hours|Group nearby stops together|Choose the order of visits|Save the route or addresses,manual_curated,Errands,5,List the places you need to visit,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare for move,prepare for moving house,List the areas that need packing|Choose one small area to start|Pack and label one box|Set aside items that will not move|Continue room by room,manual_curated,Errands,5,List the areas that need packing,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan tomorrow,plan tomorrow's day,Check tomorrow's fixed commitments|List unfinished tasks that matter tomorrow|Choose the top one or two priorities|Estimate the time needed|Leave space between commitments,manual_curated,Personal,5,Check tomorrow's fixed commitments,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan week,plan the coming week,List important commitments and deadlines|Add recurring responsibilities|Choose the most important outcomes|Place tasks into available blocks|Review whether the workload fits,manual_curated,Personal,5,List important commitments and deadlines,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Set monthly goals,set realistic goals for the month,List what you want to improve|Choose up to three important outcomes|Define what completion looks like|Break each outcome into a first action|Put the first actions on the calendar,manual_curated,Personal,5,List what you want to improve,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Journal,write a short journal entry,Open your journal|Write one sentence about how you feel|Write what took most of your attention today|Write one thing you want to remember|Close the entry without trying to make it perfect,manual_curated,Personal,5,Open your journal,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Reflect on week,reflect on the past week,List what you completed|List what remained unfinished|Write what helped you make progress|Write what repeatedly got in the way|Choose one adjustment for next week,manual_curated,Personal,5,List what you completed,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan personal project,plan a personal project,Write the result you want|List the major pieces of work|Choose the smallest useful starting action|Put the actions in a rough order|Set a realistic first deadline,manual_curated,Personal,5,Write the result you want,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Start a habit,set up a new habit,Choose one behavior to practice|Define when and where it will happen|Make the first version very small|Choose a simple way to record it|Plan what you will do if you miss a day,manual_curated,Personal,5,Choose one behavior to practice,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Read a book,read a book consistently,Choose the book and a short reading target|Put the book where you will see it|Read the first few pages|Mark the place when you stop|Schedule the next reading session,manual_curated,Personal,5,Choose the book and a short reading target,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Learn a skill,start learning a new skill,Define the specific skill you want|Choose one beginner resource|Spend ten minutes on the first lesson|Practice one small example|Write down what to practice next,manual_curated,Personal,5,Define the specific skill you want,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Practice language,practice a language,Choose one small topic|Review a short set of vocabulary|Listen to or read a short example|Say or write five sentences|Mark words you need to review,manual_curated,Personal,5,Choose one small topic,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan exercise week,plan exercise for the week,Check your available time|Choose realistic exercise sessions|Decide what each session will focus on|Put the sessions into your schedule|Prepare the first session's equipment,manual_curated,Personal,5,Check your available time,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare for sleep,prepare for bedtime,Finish the most urgent small task|Put away items you will need tomorrow|Set the alarm|Reduce distracting activities|Get into bed at the planned time,manual_curated,Personal,5,Finish the most urgent small task,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan morning,prepare a simple morning routine,List the actions you need before leaving|Put the essential items together|Choose the order of actions|Set one reminder if needed|Prepare the first action tonight,manual_curated,Personal,5,List the actions you need before leaving,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Declutter phone,reduce clutter on your phone,Choose one category such as unused apps|Remove obvious items you no longer need|Move important apps into clear folders|Turn off unnecessary notifications|Stop after the chosen category is finished,manual_curated,Personal,5,Choose one category such as unused apps,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize bookmarks,organize browser bookmarks,Open the bookmark list|Delete obvious duplicates or dead links|Create a few broad folders|Move important bookmarks into folders|Leave uncertain items in one review folder,manual_curated,Personal,5,Open the bookmark list,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean email,clean an old personal inbox,Search for obvious newsletters or promotions|Unsubscribe from unwanted recurring messages|Archive old messages that need no action|Delete obvious clutter|Create a simple folder or label for important mail,manual_curated,Personal,5,Search for obvious newsletters or promotions,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan finances,review personal finances,Check the current account balances|List bills and upcoming payments|Review recent spending categories|Identify one issue that needs attention|Write the next financial action,manual_curated,Personal,5,Check the current account balances,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
